vocabs, center, score
deforwy, 32, 27,
dejnrsx, 32, 26,
abeirty, 4, 41,
efiprsu, 64, 23,
deflotw, 32, 31,
abgrstu, 4, 22,
dekmopr, 32, 46,
deghost, 32, 29,
abdefil, 4, 32,
defrsxy, 32, 28,
demnpsw, 32, 33,
delnpst, 32, 51,
acdefpr, 16, 32,
abemoqr, 4, 21,
adehsvw, 32, 35,
degmqrt, 32, 26,
cdeprtw, 16, 24,
denqrsx, 32, 25,
dekprsu, 32, 58,
ajnpsuy, 2, 22,
deklrtu, 32, 37,
abcgils, 4, 27,
defhrst, 32, 51,
deflsuw, 32, 39,
abmorst, 4, 35,
demnost, 32, 66,
abdilor, 4, 32,
defgkls, 32, 27,
cdeqrsy, 32, 33,
cdeoqrs, 32, 40,
ceijrsy, 32, 27,
dekqrst, 32, 39,
aeintwy, 2, 30,
ceklqrs, 32, 28,
aegkltv, 32, 34,
aegnotv, 32, 28,
aejnopt, 32, 22,
achintw, 2, 37,
cekpqrs, 32, 30,
cdekors, 32, 55,
abdenop, 32, 26,
aekortv, 2, 36,
acdeqrs, 8, 35,
cekqrsy, 32, 24,
deikqrs, 16, 29,
dekpqrs, 32, 39,
abelnop, 32, 38,
aglrtvy, 2, 31,
cdekors, 8, 27,
aekostv, 32, 34,
dekqrsy, 32, 33,
cdepqrs, 16, 22,
abejnps, 32, 32,
abegnop, 2, 23,
cdekrsy, 16, 25,
aejlnop, 32, 29,
aejnops, 2, 28,
aegknot, 32, 29,
cdepqrs, 32, 42,
deikqrs, 16, 29,
cdepqrs, 16, 22,
aeintwy, 32, 27,
cehkqrs, 32, 26,
ahnrtwy, 2, 34,
aejlnop, 32, 29,
ghilosu, 256, 25,
abdeity, 16, 30,
defstux, 32, 26,
abinrty, 512, 28,
efginsy, 32, 24,
ailmtuw, 512, 19,
dejnrsv, 32, 38,
abilmuy, 2, 25,
cdefkpr, 32, 33,
abeisty, 32, 39,
efoprsu, 32, 52,
dejprsx, 16, 17,
cdelotw, 32, 31,
efimrsu, 512, 34,
degorwy, 128, 23,
adeforw, 16, 37,
abeimrt, 4, 47,
cdeflow, 16, 14,
befirsu, 4, 19,
aiklmuw, 2, 19,
abiorty, 2, 38,
cdeprty, 32, 42,
abehrty, 4, 27,
deforty, 32, 36,
deijrsx, 32, 30,
efikrsu, 64, 23,
agimosu, 2, 20,
efnstux, 32, 24,
adekowy, 16, 19,
deijnsx, 32, 21,
abehrty, 32, 46,
defipsu, 32, 19,
deflotu, 16, 24,
ejnprsx, 32, 28,
elostux, 32, 34,
cdekort, 32, 40,
abeipry, 32, 33,
abertuy, 4, 34,
bcdeprt, 32, 34,
defgino, 16, 22,
efhipru, 32, 21,
aeinrty, 2, 82,
abdeirt, 4, 64,
efipruy, 32, 26,
abekrty, 4, 29,
aefipru, 32, 36,
deijnsx, 32, 21,
defginv, 32, 15,
abgirty, 2, 36,
deikprt, 32, 54,
deortwy, 16, 28,
denrsux, 16, 36,
cdekopr, 16, 34,
dejlnsx, 32, 24,
abeisty, 4, 31,
adefgin, 16, 32,
abilmrw, 4, 18,
definsy, 16, 24,
defhorw, 32, 28,
behirty, 32, 27,
bdekprt, 32, 30,
deoqrwy, 16, 17,
abeqrty, 4, 24,
cdelotw, 16, 24,
efiprsw, 32, 49,
aefirsu, 32, 60,
aeinrty, 32, 72,
abehirt, 4, 38,
efiprtu, 32, 40,
abertuy, 4, 34,
cefstux, 32, 20,
abeirtw, 32, 46,
aefiprs, 32, 75,
acdekpr, 16, 38,
deoqrwy, 16, 17,
abenrty, 32, 65,
defgiln, 32, 31,
defnorw, 16, 29,
abdeirt, 2, 90,
cdeoprt, 32, 60,
deflsux, 16, 18,
defloty, 32, 29,
abeiort, 4, 50,
dekpqrt, 32, 26,
delotwx, 16, 20,
eflnstu, 64, 23,
deflotu, 16, 24,
delotvw, 32, 30,
cdeikpr, 16, 37,
deforuy, 32, 25,
deinrsx, 512, 37,
deilotw, 16, 30,
adforwy, 2, 21,
abertvy, 32, 47,
abdeiry, 32, 53,
abceirt, 8, 42,
denrsxy, 16, 20,
abehirt, 32, 49,
aefstux, 32, 30,
dejkrsx, 32, 23,
adeirty, 32, 61,
cekprtu, 32, 30,
efprstu, 32, 75,
dejknrs, 16, 18,
defipsu, 16, 18,
efilstx, 64, 26,
deloptw, 16, 26,
adekprt, 16, 47,
deforty, 32, 36,
eflortw, 32, 40,
bdefory, 32, 36,
