vocabs, center, score
dekprsu, 32, 58,
demnost, 32, 60,
aeinrty, 2, 73,
abdeirt, 4, 67,
aefirsu, 32, 53,
aeinrty, 32, 75,
aefiprs, 32, 74,
abenrty, 32, 60,
abdeirt, 2, 97,
cdeoprt, 32, 57,
adeirty, 32, 60,
efprstu, 32, 72,
abegirt, 32, 79,
acdekpr, 32, 62,
aeiprsu, 2, 54,
cdeiprt, 32, 77,
abdeirt, 32, 104,
eilprsu, 32, 72,
cdeoprt, 32, 57,
eioprsu, 32, 65,
einprsu, 32, 87,
acdenpr, 2, 76,
ademnps, 32, 57,
abegrst, 2, 109,
abcdepr, 2, 61,
delnrst, 32, 93,
delnost, 32, 78,
adeprtw, 16, 52,
adeprtw, 32, 71,
acdenpr, 32, 76,
abegrty, 32, 63,
eioprsu, 32, 65,
abdeiln, 16, 53,
delmopr, 32, 61,
abeinrt, 32, 103,
aberstu, 32, 116,
acdeprw, 32, 56,
acdeprw, 32, 56,
aberstu, 2, 92,
abeirst, 32, 130,
dejnrsu, 32, 58,
acdeipr, 8, 58,
adeprtw, 16, 52,
acdeprs, 2, 99,
abegirt, 2, 77,
dehorst, 32, 86,
abdeils, 16, 53,
cdeoprt, 32, 57,
deilpst, 32, 62,
eikprsu, 32, 52,
deimnps, 32, 56,
deklors, 32, 68,
adegqrs, 32, 53,
ekprstu, 32, 65,
abelnpr, 32, 49,
degprsu, 32, 64,
acdeirs, 2, 101,
denrsuv, 32, 65,
abdeirt, 4, 67,
deklors, 32, 68,
ehmnost, 32, 42,
aeilsty, 32, 54,
demnosu, 32, 48,
aeinort, 32, 89,
adehrsv, 32, 55,
aeklstv, 32, 59,
bdeprsu, 32, 64,
acehint, 2, 55,
acdersw, 32, 80,
aceqrst, 32, 79,
cdenors, 32, 73,
acdenrs, 32, 99,
aeorstv, 32, 93,
adeprsu, 2, 74,
deinost, 16, 71,
acdeirs, 32, 109,
aeirsty, 2, 80,
adehrst, 32, 117,
cdeiors, 16, 63,
adelnpt, 32, 59,
depqrst, 32, 61,
demnort, 32, 67,
aceqrst, 32, 79,
defnrst, 32, 63,
aeimrty, 32, 59,
delprst, 32, 95,
acderst, 8, 73,
aeirsty, 32, 91,
demoprt, 32, 74,
acekors, 32, 56,
dekoprs, 32, 65,
defirst, 32, 90,
deimnst, 16, 49,
enoprsu, 32, 72,
ekmoprs, 32, 53,
delmnos, 32, 66,
acdeqrt, 2, 56,
aeioprt, 32, 64,
aeilort, 32, 75,
aeinrsy, 2, 52,
abenrty, 32, 60,
abemrty, 32, 62,
aefprsu, 32, 67,
aeginrt, 256, 0,
aeirtuw, 64, 0,
aefipqr, 512, 17,
abgnrty, 8, 0,
abegirt, 64, 0,
cdefopt, 16, 12,
abiortu, 16, 0,
beirtvy, 16, 0,
bdeinry, 32, 53,
abcegit, 32, 20,
abhimrt, 512, 21,
adeijrt, 16, 41,
fiprstu, 4, 0,
aeknprt, 2, 66,
abegort, 32, 73,
abeltux, 64, 0,
abegrtv, 32, 59,
cdeknpr, 64, 0,
aeiqrsu, 16, 0,
cdelnsu, 16, 32,
delnprs, 32, 72,
dfkprsu, 4, 0,
deghrst, 32, 48,
deknost, 64, 0,
cdeikos, 64, 0,
efhprsu, 8, 0,
aehrtwy, 4, 0,
ainrtwy, 32, 0,
abdeiqr, 8, 0,
adeikpt, 16, 31,
aefimrs, 2, 59,
aefinry, 8, 0,
abdertw, 512, 0,
acefirs, 32, 71,
abertvy, 32, 48,
abdeipr, 16, 65,
cdeortv, 8, 17,
abhiort, 4, 30,
abeirty, 2, 64,
abeiruy, 8, 0,
bcegirt, 4, 17,
