vocabs, center, score
aeinrty, 2, 82,
aeinrty, 32, 71,
aefiprs, 32, 75,
abdeirt, 2, 90,
efprstu, 32, 75,
abegirt, 32, 66,
aeiprsu, 2, 69,
cdeiprt, 32, 78,
abdeirt, 32, 96,
eilprsu, 32, 73,
einprsu, 32, 87,
acdenpr, 2, 74,
abegrst, 2, 118,
delnrst, 32, 84,
delnost, 32, 77,
adeprtw, 32, 84,
acdenpr, 32, 78,
delmopr, 32, 65,
abeinrt, 32, 91,
aberstu, 32, 113,
aberstu, 2, 101,
abeirst, 32, 137,
acdeprs, 2, 92,
abegirt, 2, 72,
dehorst, 32, 80,
deilpst, 32, 70,
deimnps, 32, 59,
deklors, 32, 61,
ekprstu, 32, 73,
degprsu, 32, 64,
acdeirs, 2, 95,
deklors, 32, 61,
aeinort, 32, 74,
acdersw, 32, 85,
aceqrst, 32, 82,
cdenors, 32, 84,
acdenrs, 32, 106,
aeorstv, 32, 94,
adeprsu, 2, 76,
deinost, 16, 71,
acdeirs, 32, 102,
aeirsty, 2, 107,
adehrst, 32, 115,
cdeiors, 16, 63,
aceqrst, 32, 82,
delprst, 32, 85,
acderst, 8, 62,
aeirsty, 32, 108,
demoprt, 32, 67,
dekoprs, 32, 64,
defirst, 32, 86,
enoprsu, 32, 78,
aeioprt, 32, 61,
aeilort, 32, 69,
aefprsu, 32, 66,
aeknprt, 2, 78,
abegort, 32, 69,
delnprs, 32, 68,
aefimrs, 2, 68,
acefirs, 32, 74,
adeirsu, 32, 76,
abceirs, 32, 74,
aberstv, 32, 98,
aemnost, 32, 88,
ademprt, 32, 96,
adeilrt, 2, 98,
abeoprt, 32, 62,
adeirtv, 32, 69,
adeirsu, 32, 76,
adeirtw, 32, 72,
aefgirs, 32, 66,
ademnst, 32, 87,
aefrstu, 32, 98,
aeilrty, 32, 70,
aerstux, 32, 84,
efprstu, 32, 75,
acdeirt, 32, 94,
aefimrs, 2, 68,
abdeirt, 16, 73,
abeinrt, 32, 91,
abeilrt, 4, 64,
abeilrt, 4, 64,
abeimrt, 32, 78,
abdeilt, 32, 74,
abegrty, 2, 70,
aceiort, 8, 59,
ceiprsu, 32, 63,
deforst, 32, 78,
aceinrt, 8, 82,
aeprstu, 32, 142,
abdenrt, 32, 95,
aeiprsw, 2, 67,
acekprs, 32, 83,
abdekrt, 2, 66,
abeilrt, 4, 64,
adefprt, 32, 70,
aeiprsy, 2, 73,
acdeirt, 8, 71,
abegirt, 32, 66,
cdeorst, 32, 83,
abeilrt, 4, 64,
abcdeir, 32, 66,
abeirst, 4, 72,
adenrty, 32, 77,
abdertv, 32, 69,
abelort, 4, 67,
abegirt, 2, 72,
abenort, 2, 83,
efinrsu, 32, 76,
abeirst, 32, 137,
aeginrt, 2, 123,
deioprt, 32, 75,
aeiprst, 2, 155,
abdeprt, 32, 89,
abegirt, 32, 66,
abdeimr, 32, 73,
adeiort, 32, 63,
adeoprt, 16, 68,
adeprtv, 32, 78,
deiprst, 32, 126,
abeiprt, 32, 63,
acefrsu, 32, 64,
abderty, 32, 72,
aeilrty, 32, 70,
abeinrt, 32, 91,
acefirs, 32, 74,
elmprsu, 32, 70,
denrstu, 16, 69,
bdeilno, 32, 52,
aegirty, 32, 46,
cdeimrt, 32, 54,
adeiprw, 16, 52,
abcegrt, 32, 64,
aegprtw, 2, 65,
aeinrty, 2, 82,
aeoprsu, 32, 77,
ceiprsu, 8, 33,
celoprt, 32, 48,
aberstx, 32, 80,
acdenrw, 2, 61,
bdenost, 32, 53,
abeirtw, 32, 46,
adeoprt, 16, 68,
einpqrs, 32, 52,
aegrstu, 32, 122,
abcdegr, 32, 55,
acelnpr, 32, 83,
abdegrt, 16, 50,
aeknrty, 2, 64,
adeknpr, 16, 36,
delnosx, 32, 47,
adefirs, 32, 70,
acdeopr, 2, 59,
acdegpr, 32, 66,
aemnops, 32, 57,
abcdelr, 32, 70,
aemprtw, 32, 60,
cdemopr, 32, 54,
bdeirtv, 32, 42,
adeknpr, 32, 61,
abderst, 4, 56,
befiprs, 32, 41,
abcenrt, 32, 73,
abeglrt, 4, 57,
abcdeor, 4, 42,
adeiprt, 16, 79,
abegrst, 32, 123,
bdenrty, 32, 37,
cdelort, 32, 52,
adeorty, 32, 50,
abeirty, 32, 52,
abderst, 4, 56,
defprsu, 32, 53,
eiprsuv, 32, 54,
eimorsu, 32, 47,
abefgrs, 32, 62,
abegirt, 4, 45,
aceprsw, 2, 75,
adertwy, 32, 57,
abegilr, 4, 36,
aeilpru, 32, 49,
abegmrt, 32, 78,
deglost, 32, 48,
adeprtv, 16, 52,
aeimnrt, 32, 114,
abelrst, 32, 155,
abdeint, 16, 53,
efiprst, 32, 86,
aeimrty, 32, 60,
acekprs, 8, 39,
acdenrw, 32, 60,
aeflrsu, 32, 77,
abegmrt, 2, 87,
abegmry, 2, 54,
beioprs, 32, 51,
acdenru, 16, 45,
abegmrt, 32, 78,
acegnpr, 32, 69,
delnrtu, 32, 64,
abdeilr, 16, 73,
aberstw, 2, 94,
bdeiprt, 16, 43,
abceirt, 8, 42,
acdenrv, 32, 58,
adegrst, 2, 110,
aeiprtw, 32, 62,
acdeprs, 8, 48,
bdeilrt, 32, 63,
aefprsu, 2, 53,
acdeipr, 16, 65,
adenprx, 16, 32,
deloprt, 32, 68,
adeijrt, 32, 48,
abenrty, 32, 65,
cdeoprs, 16, 48,
adenprw, 16, 46,
aeiprtw, 32, 62,
eiloprs, 32, 82,
abefrtu, 2, 50,
abdegrt, 4, 50,
adeknpr, 2, 52,
abelstu, 4, 60,
abegrsu, 128, 54,
deimost, 32, 72,
abcdert, 16, 54,
abersty, 4, 40,
abdeint, 16, 53,
adeimrt, 16, 56,
bdeiprt, 32, 59,
delnors, 16, 57,
aeinrtw, 32, 73,
adekopr, 16, 40,
aeprsux, 32, 58,
cdemopr, 32, 54,
abegnrs, 128, 52,
delnort, 32, 66,
abdenrt, 16, 60,
acerstu, 32, 120,
abdenrt, 32, 95,
adeipru, 32, 56,
abeirtx, 2, 51,
aemnpsw, 32, 48,
abdertu, 32, 69,
abdertu, 16, 47,
abdeirt, 4, 64,
ceioprt, 8, 38,
eiknrsu, 512, 42,
acdeipr, 16, 65,
acdelrw, 32, 66,
abeilrt, 4, 64,
adeirtv, 32, 69,
bcdeopr, 32, 48,
aegqrst, 32, 85,
ademopr, 16, 52,
abegrst, 32, 123,
deoprst, 16, 62,
aeiprty, 32, 56,
defprsu, 32, 53,
cdenprs, 32, 62,
abeilmn, 32, 55,
aceirsu, 8, 61,
abegilr, 4, 36,
acdekrs, 32, 80,
cdeilpr, 32, 55,
abdegpr, 16, 37,
adeinrt, 32, 119,
abdeint, 2, 62,
abeilrt, 4, 64,
eklprsu, 32, 62,
adeilnr, 32, 95,
deikprs, 16, 48,
abenrtu, 2, 79,
acdeprt, 16, 62,
acdekrs, 32, 80,
adeprtw, 16, 58,
adeirst, 16, 93,
adelnps, 32, 78,
abdelrt, 4, 72,
adefipr, 16, 40,
abdegir, 512, 40,
bdelnos, 16, 40,
adeiprw, 32, 66,
aeinqrt, 512, 40,
cdekprs, 32, 55,
deinost, 16, 71,
abeirst, 4, 72,
abdeirt, 4, 64,
abegirt, 4, 45,
delprsu, 32, 75,
abelstu, 4, 60,
beginrt, 512, 51,
einprsu, 32, 87,
abeginr, 2, 72,
cefrstu, 32, 55,
abdegrt, 4, 50,
abdelpr, 16, 55,
delnors, 16, 57,
adenopr, 32, 70,
abdegry, 32, 53,
adeinry, 32, 60,
deoprst, 32, 110,
deiprsu, 32, 81,
eioprtu, 32, 48,
abeinrs, 2, 84,
adelprt, 32, 106,
acdepru, 32, 60,
deiprsu, 32, 81,
abegirt, 4, 45,
abdegrt, 4, 50,
eilprsx, 32, 45,
adenops, 16, 38,
ainrsty, 2, 81,
adeknpr, 16, 36,
cdelort, 32, 52,
egioprs, 32, 53,
einpstu, 32, 58,
ceiorsu, 32, 45,
abeilmn, 32, 55,
aeinrtw, 512, 52,
acerstu, 2, 110,
abenrtu, 4, 40,
aefilrs, 32, 84,
aceikpr, 32, 50,
adeirsu, 16, 57,
adeiqrt, 16, 41,
aeinprs, 2, 100,
adenpry, 32, 62,
deprsuv, 32, 55,
abeimrt, 32, 78,
acdepru, 32, 60,
aeirstu, 32, 127,
ceiprst, 32, 97,
bcdekpr, 16, 21,
efiprsu, 16, 0,
cdeilpr, 8, 23,
bdeilrt, 32, 63,
ceilprs, 4, 0,
cdepqrt, 32, 30,
ioprsuw, 32, 0,
eimnprs, 32, 80,
acdehnp, 128, 0,
aelmnps, 16, 0,
abeglrs, 32, 106,
acdeprs, 32, 106,
bdenrst, 2, 0,
delostw, 32, 56,
adegrtw, 32, 72,
adepqrw, 4, 0,
acdelnp, 32, 53,
abgprty, 4, 11,
deiprsu, 32, 81,
abdefln, 32, 45,
elmopry, 32, 45,
abehint, 4, 22,
aefrstu, 32, 98,
acdegpr, 32, 66,
acdervw, 32, 44,
abertuw, 32, 36,
abeilrt, 0, 0,
degnrsu, 0, 0,
acdeikr, 0, 0,
adlprtw, 0, 0,
acdenps, 0, 0,
abgiprt, 0, 0,
dhkorst, 0, 0,
abeilrs, 0, 0,
cdeorty, 0, 0,
deilstx, 0, 0,
ekprsuv, 0, 0,
deinpqs, 0, 0,
deklosx, 0, 0,
adeqrst, 0, 0,
ekpqrtu, 0, 0,
abcenpr, 0, 0,
egpqrsu, 0, 0,
acdeips, 0, 0,
benrsuv, 0, 0,
abderst, 0, 0,
degklrs, 0, 0,
aehnost, 0, 0,
aeilpst, 0, 0,
demnpsu, 0, 0,
bdekrux, 0, 0,
deklprs, 0, 0,
degmnot, 0, 0,
aeimnrt, 0, 0,
abdejrt, 0, 0,
aefgiru, 0, 0,
aeinprt, 0, 0,
aefinrs, 0, 0,
abertxy, 0, 0,
bdeirtu, 0, 0,
cdeopqr, 0, 0,
acdeirt, 0, 0,
efhpstu, 0, 0,
abgirtx, 0, 0,
acdekry, 0, 0,
aegipsu, 0, 0,
cdiprtx, 0, 0,
abdeinr, 0, 0,
deilpsu, 0, 0,
cdejopt, 0, 0,
eioprux, 0, 0,
eijnrsu, 0, 0,
cdenprt, 0, 0,
admnprs, 0, 0,
abegrsy, 0, 0,
abcepry, 0, 0,
deklnrs, 0, 0,
delnotv, 0, 0,
dejprtw, 0, 0,
adfprtw, 0, 0,
acdnprs, 0, 0,
abcegry, 0, 0,
eijopru, 0, 0,
abdeils, 0, 0,
delmopv, 0, 0,
abceinr, 0, 0,
abemrst, 0, 0,
aceiprw, 0, 0,
acdegrw, 0, 0,
abersuw, 0, 0,
abefrst, 0, 0,
demnrsu, 0, 0,
acdelpr, 0, 0,
adlprtw, 0, 0,
abcdepr, 0, 0,
aeginrt, 0, 0,
defhost, 0, 0,
bdeilsy, 0, 0,
cekoprt, 0, 0,
deilstv, 0, 0,
eiklpsu, 0, 0,
demnpsy, 0, 0,
ejklors, 0, 0,
aegoqrs, 0, 0,
eknrstu, 0, 0,
belmnpr, 0, 0,
egnprsu, 0, 0,
cdeirst, 0, 0,
dejnsuv, 0, 0,
abdilrt, 0, 0,
dekmors, 0, 0,
emnostx, 0, 0,
aeiklsy, 0, 0,
deinosu, 0, 0,
dekmrsx, 0, 0,
dekpstu, 0, 0,
demostx, 0, 0,
adeinrt, 0, 0,
adeirtw, 0, 0,
efijrsu, 0, 0,
aefinty, 0, 0,
adefipr, 0, 0,
abejnty, 0, 0,
bdeirtv, 0, 0,
cdeorty, 0, 0,
acdirty, 0, 0,
efpqrsu, 0, 0,
abegimt, 0, 0,
cdeikpr, 0, 0,
aehipsu, 0, 0,
acdeirt, 0, 0,
bdeikrt, 0, 0,
deiprsu, 0, 0,
deoprty, 0, 0,
eioqrsu, 0, 0,
ilnprsu, 0, 0,
acdeprw, 0, 0,
adefmnp, 0, 0,
abefgst, 0, 0,
acdehpr, 0, 0,
dlnprst, 0, 0,
adlnost, 0, 0,
aderstw, 0, 0,
adprtwy, 0, 0,
adefnpr, 0, 0,
aegirty, 0, 0,
deiorsu, 0, 0,
abdikln, 0, 0,
delmnor, 0, 0,
beinqrt, 0, 0,
beorstu, 0, 0,
acdfprw, 0, 0,
acdeipr, 0, 0,
abehrst, 0, 0,
beiorst, 0, 0,
dfjnrsu, 0, 0,
acdempr, 0, 0,
adeptwx, 0, 0,
abceprs, 0, 0,
abeiort, 0, 0,
dehnors, 0, 0,
abdikls, 0, 0,
cdoprtx, 0, 0,
deilpqt, 0, 0,
eiklrsu, 0, 0,
deinops, 0, 0,
deglors, 0, 0,
acegqrs, 0, 0,
aekrstu, 0, 0,
abelnrv, 0, 0,
egprsux, 0, 0,
adeikrs, 0, 0,
delnruv, 0, 0,
abefirt, 0, 0,
deklrsy, 0, 0,
dehnost, 0, 0,
aeilpsy, 0, 0,
aemnosu, 0, 0,
ekrsuvx, 0, 0,
dehkpsu, 0, 0,
demnotx, 0, 0,
aenrtvy, 0, 0,
abeirtv, 0, 0,
afiorsu, 0, 0,
aginrty, 0, 0,
aefipqr, 0, 0,
abehnty, 0, 0,
abeirtx, 0, 0,
cdioprt, 0, 0,
deikrty, 0, 0,
eprstuv, 0, 0,
abceirt, 0, 0,
acdelpr, 0, 0,
aeilpsu, 0, 0,
ceinprt, 0, 0,
bdehirt, 0, 0,
elprsuy, 0, 0,
defoprt, 0, 0,
ehiorsu, 0, 0,
einpqrs, 0, 0,
acejnpr, 0, 0,
acdmnps, 0, 0,
abegort, 0, 0,
bcdenpr, 0, 0,
denprst, 0, 0,
deflnot, 0, 0,
adelprt, 0, 0,
acdprtw, 0, 0,
adeinpr, 0, 0,
begkrty, 0, 0,
egoprsu, 0, 0,
abeikln, 0, 0,
bdelmor, 0, 0,
beinqrt, 0, 0,
abeqrtu, 0, 0,
acdempr, 0, 0,
acdersw, 0, 0,
abefrtu, 0, 0,
abeilrs, 0, 0,
dejnosu, 0, 0,
acdepqr, 0, 0,
adekrtw, 0, 0,
acdprst, 0, 0,
abegipr, 0, 0,
adehost, 0, 0,
abeilsv, 0, 0,
bcdeopr, 0, 0,
deilrst, 0, 0,
ikprsuv, 0, 0,
demnpsx, 0, 0,
dekloqr, 0, 0,
adefqrs, 0, 0,
gkprstu, 0, 0,
abflnpr, 0, 0,
egjprsu, 0, 0,
cdeirst, 0, 0,
deinruv, 0, 0,
abdiort, 0, 0,
adeklrs, 0, 0,
ehmnoqs, 0, 0,
aeilrty, 0, 0,
demnpsu, 0, 0,
derstux, 0, 0,
deikpsu, 0, 0,
degmnot, 0, 0,
aginrty, 0, 0,
bdeilrt, 0, 0,
aefiruv, 0, 0,
eijnrty, 0, 0,
adeiprs, 0, 0,
abemrty, 0, 0,
abdeimt, 0, 0,
deoprst, 0, 0,
adimrty, 0, 0,
efoprst, 0, 0,
abegint, 0, 0,
acdeprt, 0, 0,
aeprsuw, 0, 0,
defiprt, 0, 0,
abdeint, 0, 0,
iloprsu, 0, 0,
cdkoprt, 0, 0,
deioprs, 0, 0,
eiprsuv, 0, 0,
acdjnpr, 0, 0,
adenpqs, 0, 0,
begrstx, 0, 0,
bcdelpr, 0, 0,
dejnrst, 0, 0,
delnstv, 0, 0,
adepruw, 0, 0,
adeirtw, 0, 0,
acemnpr, 0, 0,
beglrty, 0, 0,
ehioprs, 0, 0,
acdeiln, 0, 0,
dejlmop, 0, 0,
aeinprt, 0, 0,
bcerstu, 0, 0,
acdeipw, 0, 0,
acderuw, 0, 0,
abemrsu, 0, 0,
abeilrs, 0, 0,
bdejnru, 0, 0,
acdeprt, 0, 0,
ademprw, 0, 0,
acdjprs, 0, 0,
abegmrt, 0, 0,
dhorstx, 0, 0,
adeilqs, 0, 0,
cdeprst, 0, 0,
deglpst, 0, 0,
eklprsu, 0, 0,
deimnst, 0, 0,
delorst, 0, 0,
adegnrs, 0, 0,
kprstuy, 0, 0,
ablnopr, 0, 0,
degnrsu, 0, 0,
acdikrs, 0, 0,
densuvy, 0, 0,
bdehirt, 0, 0,
deklrst, 0, 0,
behmost, 0, 0,
aegilty, 0, 0,
cdemnou, 0, 0,
cdersux, 0, 0,
deikpru, 0, 0,
denostw, 0, 0,
aeinrtx, 0, 0,
abdeist, 0, 0,
efirsuw, 0, 0,
aeinrtx, 0, 0,
aefiprt, 0, 0,
abenqrt, 0, 0,
adeirst, 0, 0,
acdeopr, 0, 0,
adirtxy, 0, 0,
flprstu, 0, 0,
aegiqrt, 0, 0,
acdekpv, 0, 0,
aeilrsu, 0, 0,
cdeimpt, 0, 0,
abeimrt, 0, 0,
aelprsu, 0, 0,
cdeiopt, 0, 0,
egoprsu, 0, 0,
einoprs, 0, 0,
acdelpr, 0, 0,
ademnrs, 0, 0,
abersty, 0, 0,
bcdepry, 0, 0,
elnrstw, 0, 0,
deklnos, 0, 0,
aeprtwx, 0, 0,
adkprtw, 0, 0,
cdejnpr, 0, 0,
abegnry, 0, 0,
beiprsu, 0, 0,
abdeilv, 0, 0,
dlmnopr, 0, 0,
abefint, 0, 0,
abeprtu, 0, 0,
acdiprw, 0, 0,
adehprw, 0, 0,
abemrsu, 0, 0,
abeijrs, 0, 0,
denrsuy, 0, 0,
acdeirt, 0, 0,
adeprtu, 0, 0,
acdepsx, 0, 0,
begirtw, 0, 0,
dhorstv, 0, 0,
abdeirs, 0, 0,
cdekopr, 0, 0,
deilptu, 0, 0,
ehikprs, 0, 0,
eijmnps, 0, 0,
dekorst, 0, 0,
abegqrs, 0, 0,
eikprsu, 0, 0,
abcenpr, 0, 0,
degjrsu, 0, 0,
aceilrs, 0, 0,
dgnrsuv, 0, 0,
adeirtu, 0, 0,
dehklor, 0, 0,
eghmost, 0, 0,
aeinsty, 0, 0,
demnosv, 0, 0,
