vocabs, center, score
dekprsu, 32, 59,
demnost, 32, 57,
aeinrty, 2, 77,
abdeirt, 4, 63,
aefirsu, 32, 58,
aeinrty, 32, 72,
aefiprs, 32, 76,
abenrty, 32, 58,
abdeirt, 2, 89,
cdeoprt, 32, 61,
adeirty, 32, 59,
efprstu, 32, 77,
abegirt, 32, 74,
acdekpr, 32, 63,
aeiprsu, 2, 67,
cdeiprt, 32, 81,
abdeirt, 32, 98,
eilprsu, 32, 70,
cdeoprt, 32, 61,
eioprsu, 32, 59,
einprsu, 32, 80,
acdenpr, 2, 80,
ademnps, 32, 59,
abegrst, 2, 116,
abcdepr, 2, 55,
delnrst, 32, 81,
delnost, 32, 70,
adeprtw, 16, 58,
adeprtw, 32, 80,
acdenpr, 32, 79,
abegrty, 32, 63,
eioprsu, 32, 59,
abdeiln, 16, 60,
delmopr, 32, 64,
abeinrt, 32, 93,
aberstu, 32, 119,
acdeprw, 32, 63,
acdeprw, 32, 63,
aberstu, 2, 97,
abeirst, 32, 132,
dejnrsu, 32, 55,
acdeipr, 8, 62,
adeprtw, 16, 58,
acdeprs, 2, 97,
abegirt, 2, 72,
dehorst, 32, 82,
abdeils, 16, 52,
cdeoprt, 32, 61,
deilpst, 32, 66,
eikprsu, 32, 53,
deimnps, 32, 64,
deklors, 32, 64,
adegqrs, 32, 56,
ekprstu, 32, 70,
abelnpr, 32, 53,
degprsu, 32, 65,
acdeirs, 2, 101,
denrsuv, 32, 63,
abdeirt, 4, 63,
deklors, 32, 64,
ehmnost, 32, 42,
aeilsty, 32, 58,
demnosu, 32, 50,
aeinort, 32, 82,
adehrsv, 32, 57,
aeklstv, 32, 63,
bdeprsu, 32, 62,
acehint, 2, 60,
acdersw, 32, 81,
aceqrst, 32, 86,
cdenors, 32, 70,
acdenrs, 32, 98,
aeorstv, 32, 94,
adeprsu, 2, 80,
deinost, 16, 73,
acdeirs, 32, 106,
aeirsty, 2, 92,
adehrst, 32, 116,
cdeiors, 16, 64,
adelnpt, 32, 59,
depqrst, 32, 63,
demnort, 32, 63,
aceqrst, 32, 86,
defnrst, 32, 58,
aeimrty, 32, 59,
delprst, 32, 87,
acderst, 8, 69,
aeirsty, 32, 99,
demoprt, 32, 74,
acekors, 32, 62,
dekoprs, 32, 65,
defirst, 32, 87,
deimnst, 16, 56,
enoprsu, 32, 69,
ekmoprs, 32, 52,
delmnos, 32, 62,
acdeqrt, 2, 50,
aeioprt, 32, 69,
aeilort, 32, 69,
aeinrsy, 2, 59,
abenrty, 32, 58,
abemrty, 32, 57,
aefprsu, 32, 76,
bdeinry, 32, 46,
adeijrt, 16, 41,
aeknprt, 2, 67,
abegort, 32, 72,
abegrtv, 32, 60,
delnprs, 32, 66,
deghrst, 32, 47,
aefimrs, 2, 65,
acefirs, 32, 72,
abertvy, 32, 45,
abdeipr, 16, 61,
abeirty, 2, 58,
acdeprw, 32, 63,
adeirsu, 32, 76,
abdeiru, 4, 38,
aefirtw, 32, 38,
abceirs, 32, 72,
abceirt, 4, 46,
aeiprty, 32, 61,
abertuy, 4, 41,
aberstv, 32, 97,
begilrt, 32, 43,
aemnost, 32, 78,
abdeist, 16, 53,
eikoprt, 32, 46,
adeiory, 16, 41,
ademprt, 32, 89,
abeinor, 32, 42,
abeimrt, 4, 45,
deimost, 16, 60,
aeginry, 32, 54,
abeijrt, 2, 47,
aceirtw, 8, 38,
adeilrt, 2, 93,
abejort, 4, 39,
efgprsu, 32, 49,
abeiort, 32, 54,
abeoprt, 32, 67,
abceirt, 512, 52,
abcekpr, 2, 43,
delnost, 16, 42,
ademost, 32, 54,
abenrty, 4, 34,
abefirs, 32, 49,
adeirtv, 32, 69,
abdeory, 32, 46,
acdekry, 32, 41,
adeirsu, 32, 76,
efgrstu, 32, 58,
adeirtw, 32, 71,
aefgirs, 32, 64,
aceimrt, 8, 55,
abehilt, 32, 40,
acdehkr, 2, 44,
aefnrty, 2, 51,
abertwy, 32, 41,
abelrtv, 4, 49,
aceirtv, 8, 46,
abegrtw, 32, 56,
adefrst, 16, 49,
adeipry, 32, 59,
ademnst, 32, 83,
abderty, 4, 44,
aceinry, 8, 40,
abeorty, 4, 48,
aefrstu, 32, 100,
adeikrt, 16, 48,
aeilrty, 32, 67,
aefirsy, 32, 42,
abeirtv, 4, 41,
aerstux, 32, 82,
bcdeors, 32, 58,
efprstu, 32, 77,
abdeiry, 16, 46,
aeilrtw, 32, 55,
abderty, 4, 44,
abenort, 4, 55,
acdeirt, 32, 97,
aefimrs, 2, 65,
abeimor, 2, 41,
abertxy, 2, 42,
abegirt, 4, 49,
demnosw, 32, 44,
bdeiprt, 32, 58,
aeijnrt, 32, 60,
abdefrt, 32, 57,
abdeirt, 16, 71,
cefprst, 32, 53,
adekmrt, 32, 55,
abeinrt, 32, 93,
deioprt, 512, 54,
abertuy, 4, 41,
ademnos, 32, 59,
efiprsu, 32, 58,
abeilrt, 4, 67,
eilnrty, 32, 50,
deoprtu, 16, 44,
abderty, 4, 44,
aceiort, 512, 52,
abegirs, 4, 42,
abeilrt, 4, 67,
abeimrt, 32, 79,
ceikors, 32, 47,
abcdert, 4, 39,
abdeilt, 32, 67,
abegrty, 2, 67,
adeiqrt, 32, 51,
aceiort, 8, 66,
adehirt, 16, 54,
abeginr, 4, 36,
ceiprsu, 32, 66,
deforst, 32, 79,
efkoprs, 32, 43,
aefnrty, 32, 49,
abeikrt, 4, 45,
acegirt, 8, 41,
abdehrt, 16, 43,
aelpstx, 2, 60,
abeijrt, 32, 41,
aceinrt, 8, 85,
aeprstu, 32, 141,
efiprsu, 32, 58,
abeirtw, 4, 36,
abdenrt, 32, 91,
adeikrt, 32, 63,
adepqrt, 32, 62,
abcekpr, 2, 43,
deklprs, 32, 58,
abdeprt, 16, 57,
ceoprst, 8, 41,
aeiprsw, 2, 64,
deknors, 32, 48,
aceirsu, 8, 63,
adehirt, 16, 54,
abiorst, 4, 40,
abehort, 2, 52,
acekprs, 32, 87,
aepqrsu, 2, 53,
abdekrt, 2, 66,
abersvy, 32, 44,
abciort, 8, 53,
abeilrt, 4, 67,
ceoprst, 8, 41,
abderty, 4, 44,
einorty, 32, 45,
abdehir, 16, 43,
abeiort, 2, 60,
adefprt, 32, 69,
aeiprsy, 2, 67,
acdeirt, 8, 73,
abegirt, 32, 74,
abdenrt, 16, 61,
adeirtu, 16, 48,
adekpry, 32, 49,
acdejpr, 32, 48,
cdeorst, 32, 82,
abdenrt, 4, 47,
abdeinr, 4, 51,
abcertv, 32, 49,
abeilrt, 4, 67,
efkprsu, 32, 43,
bdeinry, 32, 46,
abcdeir, 32, 66,
aeilnry, 32, 45,
adeikrt, 16, 48,
aeilpru, 2, 49,
abdekpr, 32, 48,
abeirst, 4, 69,
adenrty, 32, 71,
dehprsu, 32, 59,
demorst, 16, 42,
efoprtu, 32, 45,
abderty, 16, 40,
abdeiru, 2, 43,
abdertv, 32, 64,
adeirtx, 32, 54,
abelort, 4, 68,
degkors, 32, 48,
abeilot, 2, 46,
abegirt, 2, 72,
abenort, 2, 73,
efinrsu, 32, 73,
adeirtw, 16, 56,
befiprs, 32, 36,
abceint, 32, 42,
aeprsuv, 2, 59,
deknors, 16, 36,
abdeprt, 16, 57,
abeimrt, 4, 45,
abeilot, 4, 39,
abcdert, 4, 39,
acdegkr, 32, 44,
aceirty, 8, 40,
aeforsu, 32, 47,
