vocabs, center, score
ahintwy, 512, 16,
cdekqrs, 16, 13,
deforwy, 32, 27,
ghimosu, 256, 17,
abdfiko, 4, 13,
dejnrsx, 32, 22,
degjnrx, 32, 10,
dejruxy, 32, 9,
abeirty, 4, 49,
degjkrv, 32, 8,
efhilot, 64, 13,
defginy, 32, 17,
eflstux, 64, 17,
hiloswx, 512, 13,
abcjluy, 4, 11,
aefoqtu, 64, 10,
dehknpu, 32, 12,
efiprsu, 64, 24,
cdefrsx, 16, 12,
deikotx, 32, 11,
abilmuw, 4, 18,
cdekprt, 16, 20,
deflotw, 32, 32,
efnrsuw, 64, 18,
ablmnsu, 4, 26,
defmopw, 32, 16,
abgrstu, 4, 20,
eflrstv, 64, 15,
ghnpstu, 256, 14,
ablrsvx, 4, 11,
dekmopr, 32, 44,
defhjrx, 32, 5,
aefhmnw, 64, 11,
abnoptv, 4, 9,
abcdrty, 4, 12,
abcdlsw, 8, 13,
deghost, 32, 29,
abejmuy, 4, 12,
abciovx, 4, 11,
abklmpr, 4, 17,
dehlqrv, 32, 15,
abfmnrt, 4, 14,
bchiory, 8, 11,
efostwy, 64, 10,
ghiprsy, 256, 7,
hipqsty, 512, 7,
abhlosy, 4, 15,
apsuvwx, 2, 11,
aijlmvx, 2, 16,
cdehkop, 16, 10,
degiksx, 32, 12,
abijkou, 4, 10,
abdefil, 4, 26,
defrsxy, 32, 25,
efnrsuy, 64, 18,
abdehjs, 4, 10,
cdekopq, 16, 9,
deqswxy, 32, 14,
dekmoqw, 32, 13,
dehikox, 32, 8,
abcginq, 8, 10,
defnqry, 32, 16,
dekluwx, 32, 7,
demnpsw, 32, 26,
cdemouw, 16, 13,
abjlmps, 4, 10,
abknpqy, 2, 9,
dehoqrx, 32, 18,
dejkmrx, 32, 8,
delnpst, 32, 45,
degikpw, 32, 10,
definpw, 32, 17,
deglqtu, 32, 14,
acdefpr, 16, 34,
cdelmpu, 16, 14,
ainovwx, 2, 7,
bcehkst, 8, 14,
abemoqr, 4, 27,
defptuw, 32, 12,
cdeijmo, 16, 15,
defghko, 32, 12,
abijkqs, 4, 10,
deintxy, 32, 21,
efgjlsu, 64, 13,
degikpy, 32, 7,
abilnow, 4, 18,
adehsvw, 32, 35,
abikruv, 4, 15,
cdefmry, 16, 8,
cdgirst, 16, 13,
abklrsv, 4, 17,
ghrstuv, 256, 14,
abchsuw, 4, 11,
abdgmoy, 4, 17,
cdefklu, 16, 10,
abgmntu, 4, 11,
cdenrwx, 16, 10,
degmqrt, 32, 23,
cdefotw, 16, 14,
abfnotv, 4, 9,
cdeprtw, 16, 22,
efklstu, 64, 19,
abefosy, 4, 13,
ghilpst, 256, 15,
defmotw, 32, 23,
cdeimtx, 16, 15,
abfnqrs, 4, 15,
efhkltu, 64, 8,
abceknw, 4, 8,
apruwxy, 2, 13,
abchrsv, 8, 13,
cdfilms, 16, 9,
denqrsx, 32, 21,
abjmnry, 4, 13,
abeoruv, 4, 24,
demotxy, 32, 18,
hiklqsy, 512, 12,
abcgioy, 4, 19,
defhkry, 32, 15,
ablsuvw, 4, 9,
abdekmo, 4, 19,
abgosty, 4, 19,
abfkopt, 4, 10,
abcopsv, 8, 16,
cdegiot, 16, 21,
deikltx, 32, 11,
defkpqw, 32, 10,
abcelvw, 4, 13,
dekmrvx, 32, 10,
dekprsu, 32, 60,
ajnpsuy, 2, 22,
fglmnoy, 128, 9,
efiklsu, 64, 18,
abikmtv, 4, 9,
cdejrty, 16, 10,
deklrtu, 32, 29,
defghwy, 32, 10,
abcgils, 4, 25,
defhrst, 32, 48,
deflsuw, 32, 33,
abmorst, 4, 39,
denqswx, 32, 16,
defhoqt, 32, 11,
demnost, 32, 56,
abdilor, 4, 43,
cdefisv, 16, 16,
defgkls, 32, 26,
cdeksux, 16, 10,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
cdeksux, 0, 0,
