vocabs, center, score
delnpst, 32, 48,
dekprsu, 32, 59,
defhrst, 32, 52,
demnost, 32, 65,
cdekors, 32, 55,
efoprsu, 32, 53,
abehrty, 32, 47,
aeinrty, 2, 83,
abdeirt, 4, 63,
deikprt, 32, 55,
aefirsu, 32, 60,
aeinrty, 32, 72,
abeirtw, 32, 47,
aefiprs, 32, 74,
abenrty, 32, 64,
abdeirt, 2, 93,
cdeoprt, 32, 59,
abeiort, 4, 50,
abertvy, 32, 48,
abdeiry, 32, 55,
abceirt, 8, 44,
abehirt, 32, 51,
adeirty, 32, 66,
efprstu, 32, 75,
adekprt, 16, 49,
abeiort, 32, 50,
aelstux, 32, 55,
abegirt, 32, 67,
acdekpr, 32, 66,
aeiprsu, 2, 67,
cdeiprt, 32, 77,
dejnrst, 32, 53,
abdeirt, 32, 100,
eilprsu, 32, 76,
aegirty, 32, 48,
cdeoprt, 32, 59,
eioprsu, 32, 63,
cdekrst, 32, 50,
einprsu, 32, 89,
abdemor, 16, 51,
acdenpr, 2, 78,
ademnps, 32, 60,
abegrst, 2, 120,
aceflpr, 2, 51,
aemnpsw, 32, 46,
abcdepr, 2, 57,
abeikrt, 32, 53,
deikopr, 32, 50,
defrsty, 32, 55,
delnrst, 32, 81,
abemnor, 2, 50,
eiprsuw, 32, 52,
delnost, 32, 75,
adeprtw, 16, 59,
dehorst, 16, 44,
agirstu, 2, 52,
adeprtw, 32, 84,
deflnst, 32, 47,
acdenpr, 32, 79,
abegrsu, 128, 52,
abegrty, 32, 63,
eioprsu, 32, 63,
abdeiln, 16, 64,
delmopr, 32, 65,
aceprtw, 32, 53,
defrsty, 32, 55,
cdeirtw, 32, 47,
efoprsu, 32, 53,
abeinrt, 32, 93,
aberstu, 32, 115,
deiprsu, 16, 47,
deflnst, 32, 47,
acdeprw, 32, 65,
beiprsu, 32, 48,
delnopt, 32, 46,
acdeprw, 32, 65,
adestvw, 32, 47,
abegrsu, 128, 52,
aberstu, 2, 104,
abeirst, 32, 138,
abeinrt, 4, 55,
acdeprs, 8, 48,
dejnrsu, 32, 56,
abegrst, 4, 51,
acdeipr, 8, 57,
belnpst, 32, 46,
adeprtw, 16, 59,
degnorw, 32, 48,
acdeprs, 2, 93,
abelrty, 4, 46,
abegirt, 2, 73,
dehorst, 32, 79,
abdeils, 16, 58,
cdeoprt, 32, 59,
adefgrw, 32, 48,
deilpst, 32, 69,
dehnost, 32, 55,
eikprsu, 32, 56,
elmnpst, 32, 45,
deimnps, 32, 61,
ceforsu, 32, 39,
abemost, 32, 49,
demnsty, 32, 35,
deklors, 32, 61,
cdepqrs, 32, 42,
dejpqrs, 32, 33,
adegqrs, 32, 62,
ekprstu, 32, 72,
abeipry, 2, 37,
deknrtu, 32, 45,
acdersy, 16, 47,
abelnpr, 32, 58,
cenpqrs, 32, 35,
degprsu, 32, 64,
deghrst, 32, 52,
aeklotv, 32, 37,
acdeirs, 2, 97,
cdeprsw, 32, 51,
denrsuv, 32, 69,
abdeirt, 4, 63,
demoprt, 16, 35,
deklors, 32, 61,
dekmprs, 32, 48,
bdemopr, 16, 29,
adekost, 32, 45,
ehmnost, 32, 56,
ceipqrs, 32, 40,
abceist, 32, 52,
deoqrsy, 32, 31,
aeilsty, 32, 70,
ceopqrs, 32, 41,
ejkprsu, 32, 37,
abkmors, 2, 50,
acimntw, 512, 29,
cefprsu, 32, 42,
eopqrsu, 32, 45,
abeiprt, 4, 32,
demnosu, 32, 58,
deloqrs, 32, 47,
deopqrs, 32, 53,
defprsu, 32, 55,
aeinort, 32, 77,
cdeoprs, 8, 31,
adehrsv, 32, 66,
abiorst, 4, 40,
aeklstv, 32, 67,
cdenprs, 16, 30,
bdeprsu, 32, 58,
acehint, 2, 65,
acdersw, 32, 85,
deknprs, 32, 53,
aegiltv, 32, 43,
aceqrst, 32, 82,
befoprs, 32, 43,
aeirtwy, 32, 37,
deinpst, 16, 53,
cdenors, 32, 82,
delnptu, 32, 36,
acdenrs, 32, 107,
defoqrs, 32, 35,
bdeprsu, 16, 32,
aeorstv, 32, 94,
adehksw, 32, 35,
adeprsu, 2, 77,
demorst, 16, 41,
cdeqrsu, 32, 37,
aceorty, 8, 36,
cdeqrsy, 32, 33,
deklopr, 32, 55,
deinost, 16, 72,
delnost, 16, 44,
cdehors, 8, 34,
acdeirs, 32, 105,
abelmno, 32, 50,
cdeoqrs, 16, 26,
aeoprty, 32, 54,
defkrst, 32, 47,
aeirsty, 2, 108,
adehrst, 32, 117,
eklmopr, 32, 40,
demoqrs, 16, 26,
depqrsx, 32, 31,
abemrty, 4, 36,
cdeqrst, 32, 41,
ceopqrs, 32, 41,
cdeiors, 16, 62,
cdehkrs, 32, 45,
aceiqrs, 8, 41,
ekpqrst, 32, 40,
adelnpt, 32, 70,
depqrst, 32, 56,
aekmort, 32, 48,
abeikst, 512, 42,
adelrtu, 16, 47,
degnost, 16, 39,
aegkort, 32, 47,
eflopsu, 32, 35,
demnort, 32, 63,
cdenors, 16, 53,
deforsu, 16, 38,
deflrtu, 32, 50,
abemsty, 32, 37,
aceqrst, 32, 82,
cdeiqrs, 16, 34,
dejrstv, 32, 47,
defnrst, 32, 63,
bdemnot, 32, 33,
acekors, 8, 46,
aeimrty, 32, 60,
delprst, 32, 83,
abeiqrt, 32, 39,
efhirst, 512, 55,
acderst, 8, 64,
cdeorsu, 16, 43,
acdeiqs, 16, 34,
adeqrsu, 32, 55,
demopru, 32, 51,
abeijrt, 32, 41,
deflstw, 32, 45,
aeirsty, 32, 109,
abemrty, 4, 36,
demoprt, 32, 68,
delprst, 16, 34,
denoqrs, 16, 35,
delqrst, 32, 50,
bdekors, 16, 35,
abgorst, 4, 26,
aefgklt, 2, 34,
acekors, 32, 61,
dekoprs, 32, 66,
cefoprs, 32, 49,
abeikrt, 32, 53,
aeikltv, 2, 37,
dekmort, 32, 38,
efhrstv, 32, 45,
aekopst, 32, 46,
adesvwy, 32, 32,
defirst, 32, 89,
deimnst, 16, 57,
