vocabs, center, score
deforwy, 32, 28,
ghimosu, 256, 15,
dejnrsx, 32, 21,
abeirty, 4, 42,
defginy, 32, 19,
eflstux, 64, 17,
efiprsu, 64, 21,
abilmuw, 4, 17,
cdekprt, 16, 23,
deflotw, 32, 31,
efnrsuw, 64, 20,
ablmnsu, 4, 25,
abgrstu, 4, 22,
dekmopr, 32, 43,
deghost, 32, 27,
abklmpr, 4, 15,
abdefil, 4, 30,
defrsxy, 32, 27,
efnrsuy, 64, 20,
demnpsw, 32, 33,
dehoqrx, 32, 16,
delnpst, 32, 49,
definpw, 32, 16,
acdefpr, 16, 31,
abemoqr, 4, 20,
deintxy, 32, 19,
abilnow, 4, 19,
adehsvw, 32, 34,
abklrsv, 4, 16,
abdgmoy, 4, 13,
degmqrt, 32, 22,
cdeprtw, 16, 23,
efklstu, 64, 19,
defmotw, 32, 23,
denqrsx, 32, 20,
abeoruv, 4, 19,
demotxy, 32, 17,
abcgioy, 4, 17,
abdekmo, 4, 18,
abgosty, 4, 17,
cdegiot, 16, 23,
dekprsu, 32, 58,
ajnpsuy, 2, 21,
efiklsu, 64, 20,
deklrtu, 32, 35,
abcgils, 4, 25,
defhrst, 32, 48,
deflsuw, 32, 38,
abmorst, 4, 36,
demnost, 32, 59,
abdilor, 4, 34,
defgkls, 32, 27,
cflmpux, 8, 3,
cdfgjtu, 64, 5,
ahijtwy, 16, 0,
adekqrs, 256, 0,
aegjktv, 16, 0,
bgijuvw, 128, 2,
begjnop, 16, 0,
abejopv, 8, 0,
dglrtvx, 32, 0,
ceijqsy, 256, 0,
fhlmpsx, 32, 0,
cgjtuwy, 16, 0,
aehitwy, 4, 0,
cdegkqs, 16, 7,
aegkovy, 16, 0,
bgijuvw, 2, 0,
aejnopy, 4, 0,
abjnopy, 8, 0,
dlrtuvy, 16, 4,
bcegijy, 8, 2,
dlmpsux, 128, 0,
cfhjtuw, 64, 3,
ahimnwy, 64, 0,
cdeqrsv, 8, 6,
egjkotv, 2, 0,
bdgjtuv, 256, 0,
bejnopv, 8, 0,
abejnop, 16, 0,
cglrtvy, 32, 0,
cgijrsy, 4, 0,
cfmpsux, 64, 6,
cfgtuvw, 4, 0,
ahijnwy, 4, 0,
cdehkrs, 8, 16,
aegiotv, 8, 0,
bgjkuvw, 512, 0,
abenopq, 64, 0,
agjnopv, 4, 0,
dglruvy, 64, 0,
cefgijs, 4, 0,
fhmpsux, 32, 0,
cfgjntu, 8, 1,
hilntwy, 4, 0,
cdepqrs, 8, 10,
aegmotv, 8, 0,
bdgjuvx, 16, 2,
aejlnop, 8, 0,
bijnopv, 16, 0,
adgrtvy, 32, 0,
cegijms, 512, 8,
flpsuxy, 32, 0,
cfgjouw, 256, 0,
ahintvw, 64, 0,
cdikqrs, 512, 11,
aeklotv, 8, 0,
bdgjpvw, 64, 0,
abejlop, 16, 0,
ajknopv, 16, 0,
dglprty, 16, 5,
cgijrsy, 32, 0,
fmpstux, 32, 0,
fgjqtuw, 512, 0,
ahilnwy, 16, 0,
ceikqrs, 4, 0,
aefkotv, 2, 17,
bdjouvw, 32, 0,
abegjno, 64, 0,
abjlopv, 32, 0,
degrtvy, 64, 0,
bcegisy, 16, 0,
hlmpsux, 16, 0,
cfjptuw, 32, 0,
hilntwy, 4, 0,
cdeqrsy, 32, 32,
agkoqtv, 64, 0,
bdgjpuv, 64, 0,
abjknop, 8, 0,
abjknpv, 4, 7,
dgrtvwy, 32, 0,
cefgjsy, 8, 5,
fimpsux, 16, 0,
cfgjmuw, 2, 0,
dhintwy, 8, 0,
bcdeqrs, 512, 0,
egkostv, 32, 18,
bgjruvw, 32, 0,
abjnopr, 16, 0,
abnopuv, 8, 0,
dglrsty, 4, 0,
eghijsy, 2, 0,
fjlmsux, 8, 0,
bcfgtuw, 4, 0,
ahimtwy, 16, 0,
cdhkqrs, 8, 1,
adgkotv, 16, 8,
bdgjsuw, 4, 3,
abejnot, 8, 0,
bjmnopv, 8, 0,
dglrstv, 8, 0,
cegiosy, 32, 13,
fglmpsx, 32, 0,
cgijtuw, 8, 0,
achinwy, 64, 0,
dekqrsy, 512, 0,
acegkov, 8, 6,
bgjuvwy, 8, 0,
abegnop, 64, 0,
abjnopt, 512, 0,
dgilrvy, 8, 0,
cegijwy, 64, 0,
flnpsux, 4, 0,
cgjtuwx, 128, 1,
ahkntwy, 4, 0,
cdeqrst, 64, 0,
aeghotv, 32, 15,
bcdjuvw, 4, 1,
bejnopw, 16, 0,
abijopv, 4, 5,
dgprtvy, 4, 0,
bceijsy, 32, 12,
filpsux, 4, 0,
cfgjmuw, 128, 6,
ahinrwy, 32, 0,
cdeknqs, 128, 0,
acegotv, 64, 0,
dgjtuvw, 2, 0,
abejmop, 64, 0,
bjnopsv, 256, 0,
dgiltvy, 8, 0,
cegijsu, 128, 4,
fglmpsu, 512, 0,
cefjtuw, 64, 7,
achinwy, 512, 13,
cdefkqs, 16, 5,
adegkot, 16, 21,
bfgjuvw, 4, 0,
abijnop, 128, 0,
abnopvw, 4, 6,
dglrtxy, 64, 0,
cegijls, 8, 5,
filpsux, 4, 0,
cdfjtuw, 64, 3,
acintwy, 8, 12,
cehkqrs, 16, 0,
egkotuv, 4, 0,
bcdgjuv, 8, 1,
abenopu, 16, 0,
ajmnopv, 4, 0,
glrtuvy, 64, 0,
cegjpsy, 4, 0,
blmpsux, 4, 8,
fgjqtuw, 256, 0,
ahnptwy, 8, 0,
cdekqsw, 8, 2,
agknotv, 8, 0,
dgjnuvw, 4, 0,
abejnpr, 16, 0,
ablnopv, 128, 0,
dgjlrtv, 8, 0,
cegjswy, 32, 12,
fhmpsux, 128, 0,
fgjqtuw, 4, 0,
aghntwy, 4, 0,
cekqrsu, 8, 10,
agkmotv, 4, 0,
bdfgjuw, 128, 3,
aejnopy, 128, 0,
abnopvx, 128, 0,
dgqrtvy, 4, 0,
ceijrsy, 8, 14,
dlmpsux, 2, 0,
cfghjtw, 256, 4,
chintwy, 4, 0,
cdeikqr, 4, 0,
egkmotv, 2, 0,
bghjuvw, 8, 0,
abejopx, 4, 7,
abgnopv, 128, 9,
dglntvy, 64, 0,
cegijsv, 8, 5,
flmprsx, 8, 0,
cefgjtw, 2, 0,
