vocabs, center, score
deforwy, 32, 28,
ghimosu, 256, 15,
dejnrsx, 32, 24,
abeirty, 4, 41,
defginy, 32, 18,
eflstux, 64, 15,
efiprsu, 64, 22,
abilmuw, 4, 16,
cdekprt, 16, 25,
deflotw, 32, 30,
efnrsuw, 64, 18,
ablmnsu, 4, 25,
abgrstu, 4, 22,
dekmopr, 32, 47,
deghost, 32, 29,
abklmpr, 4, 12,
abdefil, 4, 30,
defrsxy, 32, 29,
efnrsuy, 64, 18,
demnpsw, 32, 35,
dehoqrx, 32, 16,
delnpst, 32, 52,
definpw, 32, 17,
acdefpr, 16, 33,
abemoqr, 4, 22,
deintxy, 32, 20,
abilnow, 4, 19,
adehsvw, 32, 35,
abklrsv, 4, 14,
abdgmoy, 4, 12,
degmqrt, 32, 25,
cdeprtw, 16, 24,
efklstu, 64, 17,
defmotw, 32, 23,
denqrsx, 32, 23,
abeoruv, 4, 20,
demotxy, 32, 17,
abcgioy, 4, 18,
abdekmo, 4, 20,
abgosty, 4, 18,
cdegiot, 16, 27,
dekprsu, 32, 60,
ajnpsuy, 2, 22,
efiklsu, 64, 18,
deklrtu, 32, 37,
abcgils, 4, 25,
defhrst, 32, 52,
deflsuw, 32, 39,
abmorst, 4, 35,
demnost, 32, 60,
abdilor, 4, 33,
defgkls, 32, 28,
cdehkrs, 8, 15,
cdikqrs, 512, 11,
aefkotv, 2, 19,
cdeqrsy, 32, 33,
egkostv, 32, 16,
cegiosy, 32, 12,
aeghotv, 32, 18,
bceijsy, 32, 12,
achinwy, 512, 13,
adegkot, 16, 25,
acintwy, 8, 13,
cegjswy, 32, 12,
ceijrsy, 8, 13,
abejlnp, 32, 26,
aceijsy, 32, 20,
eflmsux, 64, 9,
cdeoqrs, 32, 40,
abdjnop, 16, 12,
abejkop, 4, 12,
ceijrsy, 32, 26,
abejlnp, 32, 26,
aefgktv, 2, 19,
egijnsy, 128, 9,
adhintw, 256, 13,
abenopw, 32, 13,
dekqrst, 32, 40,
abenopy, 2, 15,
acekotv, 32, 18,
aeintwy, 2, 30,
ahituwy, 256, 12,
abjknov, 4, 12,
cdefkqr, 32, 17,
ceklqrs, 32, 30,
aegkltv, 32, 34,
abejmnp, 4, 11,
aegotvw, 32, 14,
aceijsy, 32, 20,
aegkotu, 2, 21,
aegnotv, 32, 29,
abhintw, 4, 13,
abejnox, 32, 14,
egknotv, 32, 15,
achinty, 256, 16,
aejnopt, 32, 22,
achintw, 2, 34,
aeghotv, 128, 15,
abelnop, 4, 19,
ceginsy, 512, 21,
cdekrsv, 16, 18,
abdejnp, 4, 14,
abejnop, 32, 14,
cdefkqr, 32, 17,
cdeoqrs, 8, 17,
cdegisy, 16, 16,
aintvwy, 2, 21,
cdegkqr, 32, 18,
abejnpr, 4, 13,
ahnstwy, 256, 15,
ceginsy, 512, 21,
cekpqrs, 32, 30,
cdekors, 32, 54,
ahntwxy, 2, 12,
bceijsy, 32, 12,
acekotv, 2, 21,
degkotv, 16, 17,
abcjnop, 8, 9,
abjnpvy, 2, 14,
abdenop, 32, 26,
abdejnp, 4, 14,
abejnps, 4, 19,
bejnops, 4, 13,
aekortv, 2, 33,
abegjno, 32, 18,
abjlnpv, 2, 14,
cdehkqs, 32, 17,
abejnoy, 4, 12,
acdeqrs, 8, 33,
abfjnop, 2, 15,
cekqrsy, 32, 24,
abcjnov, 4, 12,
deikqrs, 16, 28,
abejnou, 4, 13,
aflmpsx, 2, 19,
cdefkrs, 16, 15,
abekotv, 4, 11,
abdenop, 4, 17,
dekpqrs, 32, 41,
aefgotv, 2, 19,
cdekrsu, 8, 16,
deglrtv, 16, 14,
aegoptv, 32, 20,
aeghktv, 256, 14,
aceijsy, 8, 17,
acegktv, 32, 14,
cdeklqs, 32, 22,
abcjnop, 4, 14,
cdeklqr, 16, 14,
abcejop, 8, 12,
aejkotv, 2, 18,
cdehkrs, 8, 15,
cdegijs, 16, 13,
abelnop, 32, 34,
ceijsuy, 32, 13,
abcjnop, 8, 9,
aglrtvy, 2, 31,
cdekors, 8, 25,
aekostv, 32, 34,
adekotv, 16, 23,
dekqrsy, 32, 34,
cdekrst, 8, 11,
aegikot, 32, 14,
cdeqrsy, 16, 18,
abefjnp, 2, 17,
aekotvw, 2, 17,
aefgotv, 64, 12,
aegkotw, 32, 17,
adekotv, 32, 27,
afhitwy, 2, 19,
abjknov, 4, 12,
cdekqry, 16, 15,
cdepqrs, 16, 22,
abhintw, 4, 13,
abcenop, 4, 18,
cdeklqr, 16, 14,
abejnps, 32, 31,
degltvy, 32, 18,
aegoptv, 32, 20,
abejlop, 32, 17,
adglrty, 128, 15,
aegkoqt, 32, 14,
abegnop, 2, 24,
ceijrsy, 512, 11,
abeinop, 32, 20,
cdekrsy, 16, 24,
aejlnop, 32, 27,
cdehqrs, 16, 16,
abcejop, 8, 12,
cegjmsy, 32, 13,
aejnops, 2, 25,
aehitwy, 256, 15,
aegotvw, 128, 14,
acdekqr, 8, 19,
abeijno, 32, 14,
aegkmot, 32, 22,
bejnopx, 32, 13,
aegijsy, 2, 16,
aegknot, 32, 30,
agintwy, 512, 21,
cdegijs, 16, 13,
cdepqrs, 32, 42,
abdenop, 4, 17,
deikqrs, 16, 28,
abejlnp, 4, 14,
cdepqrs, 16, 22,
abeinop, 32, 20,
abejnpv, 32, 11,
ehintwy, 512, 18,
abjnopu, 2, 12,
ceijmsy, 32, 14,
bejnopy, 32, 11,
aeintwy, 32, 26,
cehkqrs, 32, 26,
abegjno, 32, 18,
cdehqrs, 8, 10,
aegkotx, 32, 19,
ahnrtwy, 2, 31,
cegijsu, 32, 12,
aegknov, 128, 16,
aejlnop, 32, 27,
acdeqrs, 0, 0,
deflrwy, 0, 0,
aghmosu, 0, 0,
abdiklo, 0, 0,
denrsxy, 0, 0,
dghjnrx, 0, 0,
cejruxy, 0, 0,
beirtwy, 0, 0,
degkrsv, 0, 0,
efhlotw, 0, 0,
efginxy, 0, 0,
efgltux, 0, 0,
hiosuwx, 0, 0,
abcjlqy, 0, 0,
aefjotu, 0, 0,
aiotuwy, 0, 0,
abhinty, 0, 0,
cdekrsx, 0, 0,
defnowy, 0, 0,
ghiosuv, 0, 0,
abdfikt, 0, 0,
