vocabs, center, score
aeinrty, 2, 79,
aefiprs, 32, 74,
abdeirt, 2, 87,
efprstu, 32, 77,
cdeiprt, 32, 81,
abdeirt, 32, 95,
eilprsu, 32, 73,
einprsu, 32, 83,
acdenpr, 2, 80,
abegrst, 2, 119,
delnrst, 32, 82,
delnost, 32, 74,
adeprtw, 32, 85,
acdenpr, 32, 82,
abeinrt, 32, 96,
aberstu, 32, 113,
aberstu, 2, 98,
abeirst, 32, 132,
acdeprs, 2, 93,
abegirt, 2, 72,
dehorst, 32, 80,
ekprstu, 32, 74,
acdeirs, 2, 95,
aeinort, 32, 79,
acdersw, 32, 82,
aceqrst, 32, 83,
cdenors, 32, 73,
acdenrs, 32, 99,
aeorstv, 32, 92,
adeprsu, 2, 78,
acdeirs, 32, 102,
aeirsty, 2, 99,
adehrst, 32, 116,
aceqrst, 32, 83,
delprst, 32, 91,
aeirsty, 32, 103,
defirst, 32, 87,
enoprsu, 32, 71,
aeknprt, 2, 69,
acefirs, 32, 69,
adeirsu, 32, 72,
abceirs, 32, 68,
aberstv, 32, 97,
aemnost, 32, 82,
ademprt, 32, 95,
adeilrt, 2, 94,
adeirsu, 32, 72,
adeirtw, 32, 70,
ademnst, 32, 83,
aefrstu, 32, 99,
aerstux, 32, 81,
efprstu, 32, 77,
acdeirt, 32, 95,
abdeirt, 16, 71,
abeinrt, 32, 96,
abeimrt, 32, 76,
abdeilt, 32, 69,
deforst, 32, 78,
aceinrt, 8, 82,
aeprstu, 32, 146,
abdenrt, 32, 98,
acekprs, 32, 84,
aeiprsy, 2, 67,
cdeorst, 32, 82,
abeirst, 4, 70,
adenrty, 32, 75,
abegirt, 2, 72,
abenort, 2, 76,
efinrsu, 32, 76,
abeirst, 32, 132,
aeginrt, 2, 128,
deioprt, 32, 79,
aeiprst, 2, 151,
abdeprt, 32, 91,
abdeimr, 32, 67,
adeprtv, 32, 77,
deiprst, 32, 137,
abderty, 32, 70,
abeinrt, 32, 96,
acefirs, 32, 69,
aeinrty, 2, 79,
aeoprsu, 32, 82,
aberstx, 32, 77,
aegrstu, 32, 125,
acelnpr, 32, 78,
abcenrt, 32, 73,
adeiprt, 16, 82,
abegrst, 32, 123,
aceprsw, 2, 75,
abegmrt, 32, 78,
aeimnrt, 32, 121,
abelrst, 32, 149,
efiprst, 32, 92,
aeflrsu, 32, 76,
abegmrt, 2, 87,
abegmrt, 32, 78,
abdeilr, 16, 71,
aberstw, 2, 91,
adegrst, 2, 117,
eiloprs, 32, 86,
deimost, 32, 71,
aeinrtw, 32, 76,
acerstu, 32, 123,
abdenrt, 32, 98,
aegqrst, 32, 86,
abegrst, 32, 123,
acdekrs, 32, 74,
adeinrt, 32, 124,
adeilnr, 32, 91,
abenrtu, 2, 72,
acdekrs, 32, 74,
