vocabs, center, score
abeirty, 4, 42,
dekmopr, 32, 42,
delnpst, 32, 48,
adehsvw, 32, 35,
dekprsu, 32, 58,
deklrtu, 32, 33,
defhrst, 32, 48,
deflsuw, 32, 37,
abmorst, 4, 35,
demnost, 32, 60,
cdeoqrs, 32, 39,
dekqrst, 32, 36,
aegkltv, 32, 32,
achintw, 2, 30,
cdekors, 32, 51,
acdeqrs, 8, 34,
dekpqrs, 32, 38,
abelnop, 32, 33,
cdepqrs, 32, 43,
ahnrtwy, 2, 28,
dejnrsv, 32, 32,
abeisty, 32, 39,
efoprsu, 32, 54,
efimrsu, 512, 33,
adeforw, 16, 36,
abeimrt, 4, 44,
abiorty, 2, 41,
cdeprty, 32, 40,
deforty, 32, 36,
abehrty, 32, 47,
elostux, 32, 36,
cdekort, 32, 38,
abertuy, 4, 33,
bcdeprt, 32, 34,
aeinrty, 2, 78,
abdeirt, 4, 64,
aefipru, 32, 35,
deikprt, 32, 52,
denrsux, 16, 38,
cdekopr, 16, 31,
efiprsw, 32, 44,
aefirsu, 32, 57,
aeinrty, 32, 74,
abehirt, 4, 37,
efiprtu, 32, 37,
abertuy, 4, 33,
abeirtw, 32, 45,
aefiprs, 32, 75,
acdekpr, 16, 39,
abenrty, 32, 63,
abdeirt, 2, 89,
cdeoprt, 32, 60,
abeiort, 4, 50,
cdeikpr, 16, 36,
deinrsx, 512, 40,
abertvy, 32, 47,
abdeiry, 32, 52,
abceirt, 8, 45,
abehirt, 32, 49,
adeirty, 32, 58,
efprstu, 32, 76,
adekprt, 16, 48,
deforty, 32, 36,
eflortw, 32, 44,
bdefory, 32, 38,
abeiort, 32, 48,
aelstux, 32, 49,
abegirt, 32, 69,
cdeprtu, 32, 41,
adenrsx, 16, 32,
acdekpr, 32, 63,
abertuy, 32, 44,
cdeiprt, 8, 40,
aeiprsu, 2, 70,
abehirt, 4, 37,
efipqrs, 32, 33,
efiorsu, 32, 40,
befiprs, 32, 36,
abeorty, 4, 44,
cdeiprt, 32, 79,
abeqrty, 32, 35,
dejnrst, 32, 53,
abdeirt, 32, 94,
abemrty, 4, 34,
abdeiry, 4, 40,
eilprsu, 32, 73,
deforty, 32, 36,
aegirty, 32, 50,
delostw, 16, 40,
cdeoprt, 32, 60,
eflortw, 32, 44,
aeirtuy, 32, 35,
eioprsu, 32, 61,
cdekrst, 32, 47,
acdekpr, 16, 39,
cdejnrs, 32, 33,
deijnrs, 16, 33,
einprsu, 32, 84,
befiprs, 32, 36,
delnprt, 32, 44,
abdemor, 16, 49,
demprtw, 32, 32,
dejrsxy, 32, 24,
acdenpr, 2, 81,
bdelnps, 32, 43,
abdefir, 4, 35,
ademnps, 32, 60,
ablnrsu, 4, 33,
abegrst, 2, 118,
aceflpr, 2, 55,
aemnpsw, 32, 48,
abcdepr, 2, 55,
defgory, 32, 32,
abeikrt, 32, 51,
delmotw, 16, 23,
deikopr, 32, 48,
eiprsux, 32, 41,
cdehprt, 32, 37,
deflorw, 16, 34,
defgost, 32, 26,
deorsxy, 16, 27,
deglnst, 16, 18,
adegqrt, 16, 28,
abgnstu, 2, 28,
adelnps, 16, 39,
deghort, 32, 44,
cdenprt, 16, 28,
adenpsw, 16, 34,
cdekort, 32, 38,
defrsty, 32, 51,
delnrst, 32, 82,
acdefrs, 8, 39,
abemnor, 2, 53,
abderty, 4, 43,
eiprsuw, 32, 51,
delnost, 32, 73,
adefnpr, 16, 33,
adeprtw, 16, 59,
abeoqrs, 4, 28,
abegiry, 2, 38,
dehorst, 16, 46,
agirstu, 2, 48,
adeprtw, 32, 84,
degostv, 32, 23,
abefgil, 32, 14,
adefilm, 32, 37,
dehkopr, 32, 37,
deghosy, 32, 20,
dekoprv, 16, 23,
deflnst, 32, 45,
acdenpr, 32, 81,
eijnrsx, 32, 27,
abefilr, 4, 32,
efiprsy, 32, 39,
abegrsu, 128, 53,
cdeprty, 32, 40,
abegrty, 32, 64,
eioprsu, 32, 61,
abdeiln, 16, 62,
abeloqr, 32, 29,
adeflot, 16, 29,
ablmstu, 2, 40,
adepsvw, 32, 37,
defkopr, 16, 23,
delnprs, 16, 28,
acdejpr, 16, 31,
ablmosu, 2, 39,
acdefir, 8, 43,
degmrst, 16, 22,
adefprw, 16, 34,
adehmsw, 2, 41,
cdeortw, 16, 29,
deijnrx, 32, 19,
ablmrsu, 4, 30,
delmopr, 32, 64,
adeghos, 32, 28,
ablrstu, 4, 30,
degmrty, 32, 30,
abfrstu, 2, 38,
abdeilp, 4, 33,
cderstw, 16, 30,
aceprtw, 32, 50,
demoprw, 16, 26,
demnprw, 32, 24,
acefhpr, 32, 35,
abertwy, 32, 40,
acdefor, 16, 34,
defrsty, 32, 51,
cdeflpr, 32, 30,
ademoqr, 2, 31,
cdenprt, 16, 28,
bcdekpr, 32, 30,
adefrsy, 16, 28,
deflorw, 32, 40,
cdeprty, 32, 40,
cdeirtw, 32, 47,
defgoru, 16, 30,
acdepru, 16, 38,
adefhsw, 2, 32,
abertxy, 32, 36,
delotwx, 32, 24,
adehisv, 32, 27,
cdeortw, 32, 38,
efoprsu, 32, 54,
abeinrt, 32, 95,
aberstu, 32, 111,
deiprsu, 16, 51,
delotuw, 16, 26,
abdegil, 4, 39,
deflnst, 32, 45,
degmprt, 32, 34,
degkprt, 32, 28,
degnost, 16, 36,
abdefls, 4, 26,
acdeprw, 32, 63,
beiprsu, 32, 47,
abgprst, 2, 43,
adefilw, 32, 20,
ademnpw, 16, 30,
bdeghos, 32, 23,
adempsw, 32, 44,
dejnprs, 16, 19,
abderty, 16, 44,
abeiory, 4, 28,
defipru, 16, 24,
delnopt, 32, 47,
abekmor, 32, 28,
acdeprw, 32, 63,
adestvw, 32, 52,
abertuy, 4, 33,
abegrsu, 128, 53,
abdeikl, 32, 35,
demnrsw, 32, 40,
adefpry, 16, 28,
aberstu, 2, 98,
dejlnps, 32, 31,
adehosw, 32, 35,
bdelnps, 16, 16,
abejmor, 4, 23,
cdeprtu, 16, 24,
abeirst, 32, 133,
abdemqr, 32, 34,
defopry, 32, 39,
abeinrt, 4, 56,
cdeikrt, 16, 29,
acdeprs, 8, 48,
dejnrsu, 32, 53,
abegrst, 4, 51,
abertvy, 4, 33,
efimrsu, 64, 23,
deirsxy, 32, 32,
acdeipr, 8, 61,
agirstu, 512, 31,
dehiost, 16, 43,
belnpst, 32, 46,
adeprtw, 16, 59,
degnorw, 32, 45,
acdeprs, 2, 95,
deforsy, 32, 39,
aceprtw, 8, 21,
abelrty, 4, 47,
deikprt, 16, 33,
eghiost, 32, 24,
demqrst, 32, 42,
bdefils, 32, 37,
cdemprw, 32, 25,
acefjpr, 2, 35,
abegirt, 2, 72,
dehorst, 32, 78,
cdeorwy, 32, 25,
defirsu, 16, 31,
aborstu, 4, 38,
adefrsy, 16, 28,
deglnst, 16, 18,
eflorwy, 32, 24,
abdeils, 16, 52,
adenpsw, 16, 34,
cdeoprt, 32, 60,
dehkopr, 16, 22,
defgprw, 32, 25,
cdemprt, 32, 36,
cdeprty, 32, 40,
abcdefl, 2, 32,
