vocabs, center, score
delnpst, 32, 46,
dekprsu, 32, 58,
defhrst, 32, 46,
demnost, 32, 55,
cdekors, 32, 49,
efoprsu, 32, 58,
abehrty, 32, 49,
aeinrty, 2, 77,
abdeirt, 4, 67,
deikprt, 32, 52,
aefirsu, 32, 53,
aeinrty, 32, 74,
abeirtw, 32, 53,
aefiprs, 32, 73,
abenrty, 32, 60,
abdeirt, 2, 97,
cdeoprt, 32, 58,
abeiort, 4, 57,
abertvy, 32, 47,
abdeiry, 32, 54,
abceirt, 8, 52,
abehirt, 32, 56,
adeirty, 32, 59,
efprstu, 32, 73,
adekprt, 16, 49,
abeiort, 32, 59,
aelstux, 32, 45,
abegirt, 32, 77,
acdekpr, 32, 61,
aeiprsu, 2, 59,
cdeiprt, 32, 78,
dejnrst, 32, 52,
abdeirt, 32, 104,
eilprsu, 32, 68,
aegirty, 32, 50,
cdeoprt, 32, 58,
eioprsu, 32, 63,
cdekrst, 32, 46,
einprsu, 32, 82,
abdemor, 16, 57,
acdenpr, 2, 80,
ademnps, 32, 54,
abegrst, 2, 113,
aceflpr, 2, 55,
aemnpsw, 32, 44,
abcdepr, 2, 61,
abeikrt, 32, 58,
deikopr, 32, 47,
defrsty, 32, 50,
delnrst, 32, 85,
abemnor, 2, 57,
eiprsuw, 32, 46,
delnost, 32, 74,
adeprtw, 16, 55,
dehorst, 16, 44,
agirstu, 2, 40,
adeprtw, 32, 77,
deflnst, 32, 43,
acdenpr, 32, 79,
abegrsu, 128, 47,
abegrty, 32, 63,
eioprsu, 32, 63,
abdeiln, 16, 54,
delmopr, 32, 62,
aceprtw, 32, 50,
defrsty, 32, 50,
cdeirtw, 32, 42,
efoprsu, 32, 58,
abeinrt, 32, 100,
aberstu, 32, 116,
deiprsu, 16, 60,
deflnst, 32, 43,
acdeprw, 32, 60,
beiprsu, 32, 45,
delnopt, 32, 51,
acdeprw, 32, 60,
adestvw, 32, 46,
abegrsu, 128, 47,
aberstu, 2, 92,
abeirst, 32, 128,
abeinrt, 4, 53,
acdeprs, 8, 53,
dejnrsu, 32, 56,
abegrst, 4, 50,
acdeipr, 8, 62,
belnpst, 32, 42,
adeprtw, 16, 55,
degnorw, 32, 44,
acdeprs, 2, 100,
abelrty, 4, 56,
abegirt, 2, 75,
dehorst, 32, 84,
abdeils, 16, 52,
cdeoprt, 32, 58,
adefgrw, 32, 46,
deilpst, 32, 61,
dehnost, 32, 42,
eikprsu, 32, 50,
elmnpst, 32, 42,
deimnps, 32, 53,
abeijst, 16, 0,
ceforsu, 32, 37,
aeinoty, 32, 26,
abeitvy, 256, 0,
demoprt, 64, 0,
delnstw, 512, 0,
adersvw, 8, 0,
efkprsu, 64, 13,
deklmru, 16, 17,
defhlrt, 16, 10,
bdflsuw, 16, 5,
abemost, 32, 45,
demnsty, 32, 31,
cegoqrs, 512, 0,
deknqst, 16, 12,
aegklvx, 4, 0,
acfhinw, 2, 17,
deklors, 32, 68,
aekoruv, 64, 0,
cdepqrs, 32, 45,
dekmpqr, 64, 0,
ablnopw, 16, 0,
aefkotv, 16, 0,
dejpqrs, 32, 37,
ahjrtwy, 4, 0,
ejnorsv, 32, 28,
abeipst, 64, 0,
cefopsu, 64, 8,
aelorty, 8, 0,
aeirsty, 4, 0,
defkmop, 32, 14,
dejlpst, 8, 0,
abdesvw, 16, 18,
ekprstu, 2, 0,
delrtuy, 8, 0,
dehrstx, 512, 0,
