vocabs, center, score
abeirty, 4, 42,
dekmopr, 32, 37,
delnpst, 32, 58,
adehsvw, 32, 30,
dekprsu, 32, 61,
deklrtu, 32, 27,
defhrst, 32, 46,
deflsuw, 32, 33,
abmorst, 4, 39,
demnost, 32, 65,
cdeoqrs, 32, 37,
dekqrst, 32, 41,
aegkltv, 32, 39,
achintw, 2, 32,
cdekors, 32, 53,
aekortv, 2, 25,
acdeqrs, 8, 34,
dekpqrs, 32, 40,
abelnop, 32, 35,
aekostv, 32, 23,
cdepqrs, 32, 43,
ahnrtwy, 2, 28,
dejnrsv, 32, 38,
abeisty, 32, 26,
efoprsu, 32, 54,
efimrsu, 512, 35,
adeforw, 16, 39,
abeimrt, 4, 42,
abiorty, 2, 29,
cdeprty, 32, 38,
deforty, 32, 28,
abehrty, 32, 52,
elostux, 32, 36,
cdekort, 32, 29,
abertuy, 4, 37,
bcdeprt, 32, 36,
aeinrty, 2, 70,
abdeirt, 4, 57,
aefipru, 32, 31,
abgirty, 2, 24,
deikprt, 32, 54,
denrsux, 16, 43,
cdekopr, 16, 35,
efiprsw, 32, 48,
aefirsu, 32, 49,
aeinrty, 32, 77,
abehirt, 4, 36,
efiprtu, 32, 33,
abertuy, 4, 37,
abeirtw, 32, 55,
aefiprs, 32, 73,
acdekpr, 16, 36,
abenrty, 32, 62,
abdeirt, 2, 85,
cdeoprt, 32, 52,
abeiort, 4, 52,
cdeikpr, 16, 32,
deinrsx, 512, 50,
abertvy, 32, 47,
abdeiry, 32, 51,
abceirt, 8, 55,
abehirt, 32, 58,
adeirty, 32, 62,
efprstu, 32, 67,
adekprt, 16, 43,
deforty, 32, 28,
eflortw, 32, 39,
bdefory, 32, 37,
abeiort, 32, 56,
aelstux, 32, 47,
abegirt, 32, 80,
cdeprtu, 32, 37,
cdekmpr, 32, 25,
adenrsx, 16, 46,
acdekpr, 32, 52,
abertuy, 32, 49,
cdeiprt, 8, 38,
aeiprsu, 2, 53,
abehirt, 4, 36,
efipqrs, 32, 37,
efiorsu, 32, 40,
befiprs, 32, 45,
abeorty, 4, 47,
cdeiprt, 32, 75,
abeqrty, 32, 39,
dejnrst, 32, 56,
abdeirt, 32, 99,
abemrty, 4, 38,
abdeiry, 4, 34,
eilprsu, 32, 66,
deforty, 32, 28,
aegirty, 32, 53,
delostw, 16, 41,
cdeoprt, 32, 52,
eflortw, 32, 39,
aeirtuy, 32, 34,
eioprsu, 32, 65,
cdekrst, 32, 56,
acdekpr, 16, 36,
cdejnrs, 32, 39,
deijnrs, 16, 44,
einprsu, 32, 86,
befiprs, 32, 45,
cdknprt, 256, 0,
aeflotw, 64, 10,
abclmsu, 512, 0,
abfgstu, 8, 0,
deklmpr, 64, 0,
eghoqst, 16, 0,
abefilx, 16, 0,
aefrsxy, 16, 0,
denpswx, 32, 25,
delnprt, 32, 44,
abcdefr, 512, 0,
abdemor, 16, 56,
dehksvw, 4, 0,
degmrtx, 2, 0,
demprtw, 32, 32,
bdeforw, 64, 9,
defjowy, 32, 8,
cdenrsx, 64, 0,
abeirst, 16, 0,
eiprstu, 16, 0,
dekpqrt, 32, 23,
bdelotw, 4, 19,
ablmnuw, 32, 0,
abgpstu, 64, 0,
defkmor, 64, 12,
degostv, 8, 0,
bdefilv, 4, 13,
dejrsxy, 32, 28,
demnopw, 8, 0,
dklnpst, 16, 5,
acdenpr, 2, 64,
abceoqr, 8, 25,
acdesvw, 512, 0,
dgkmqrt, 32, 0,
cdeptvw, 32, 14,
degjorw, 16, 21,
defoprw, 8, 0,
bdenrsx, 4, 12,
abehity, 2, 15,
efgirsu, 8, 0,
cdekpry, 4, 0,
dfhlotw, 16, 7,
abmnsuv, 8, 0,
abgqrst, 16, 0,
demoprw, 4, 0,
cdeghst, 8, 11,
adefgil, 8, 0,
defmrxy, 8, 0,
djmnpsw, 32, 0,
bdelnps, 32, 45,
acdfprv, 8, 6,
abeimor, 64, 0,
aehqsvw, 512, 0,
dgmqrtw, 8, 0,
cdekrtw, 8, 8,
deghorw, 64, 0,
defkowy, 512, 0,
dejlnrx, 8, 0,
abeikry, 64, 0,
efgirsu, 4, 0,
cdkmprt, 128, 0,
eflotvw, 4, 0,
blmnsux, 64, 0,
abgstuy, 32, 0,
adekmor, 4, 0,
deghstv, 16, 11,
abdefir, 4, 32,
derswxy, 4, 0,
dhmnpsw, 32, 0,
adelnps, 4, 0,
acdefhp, 128, 0,
abemoqx, 32, 7,
