vocabs, center, score
abjnopv, 4, 8,
dglrtvy, 32, 0,
cegijsy, 16, 0,
flmpsux, 128, 0,
cfgjtuw, 16, 0,
ahintwy, 512, 18,
cdekqrs, 16, 15,
aegkotv, 4, 0,
bdgjuvw, 8, 0,
agmsvwx, 4, 0,
deforwy, 32, 28,
ehjouwy, 64, 0,
bjmostu, 8, 0,
cfghtvw, 16, 0,
cdfhqsw, 16, 1,
acdeghi, 4, 0,
aejkmor, 4, 0,
cfikrsw, 16, 0,
begimqu, 8, 0,
cjlmops, 16, 0,
eiopqwx, 64, 0,
hinpuvw, 512, 1,
bcfkmuw, 8, 1,
cepstuv, 16, 0,
krstuvy, 2, 0,
cikloru, 16, 0,
cefmosu, 16, 0,
cjlpvxy, 16, 0,
gkloptu, 256, 0,
adhjoux, 32, 0,
gilswxy, 256, 0,
ghimosu, 256, 15,
efknvxy, 64, 2,
dfijlny, 32, 0,
abdfiko, 4, 13,
bfikoux, 8, 0,
cdfmpqx, 16, 3,
bcjklxy, 8, 0,
bfkqtuw, 8, 0,
cenprux, 16, 0,
dhjruwx, 32, 0,
dejnrsx, 32, 24,
fjnpuvx, 128, 0,
fijmnrt, 128, 0,
bjrtvxy, 8, 0,
bcfgqst, 8, 1,
abcgiju, 4, 6,
glmnrxy, 256, 0,
fgioquw, 128, 7,
hjlnotx, 512, 0,
abgilnr, 8, 0,
efglpqw, 64, 4,
bfghmwx, 8, 0,
efhiknp, 64, 4,
cejopvw, 16, 0,
gnopquv, 256, 0,
cefinuy, 16, 0,
fgjlnqs, 128, 1,
cjkqtvw, 16, 0,
bcdhirv, 8, 4,
dijkmux, 32, 0,
gimnprt, 256, 0,
dgiklmr, 32, 0,
cfknuvy, 16, 0,
akpqrsx, 4, 0,
cegkopw, 16, 0,
cmopqrx, 16, 0,
ikmopsw, 2, 0,
aeinruy, 4, 0,
bghortv, 8, 0,
cdhpswy, 16, 1,
bmouvwx, 8, 0,
fhjmovy, 128, 0,
eiopqtv, 64, 0,
eiorsxy, 64, 0,
bghlmxy, 8, 0,
jkmorvy, 2, 0,
ghptvwx, 256, 3,
bgnoswx, 8, 0,
cdotuvw, 16, 7,
degjnrx, 32, 16,
acmnouw, 4, 0,
eghjruv, 64, 0,
aklmpwy, 4, 0,
acipqwy, 4, 0,
abejswy, 8, 0,
bmrsuwx, 8, 0,
hkloptv, 512, 0,
emnotvx, 64, 0,
ablqrtx, 4, 8,
ehiuwxy, 64, 0,
abefgmq, 4, 8,
dipqruw, 32, 0,
bcenpsx, 8, 6,
abdempq, 4, 8,
begqrtw, 8, 0,
bgijnsw, 8, 0,
cdhpqsv, 16, 1,
bcgkvxy, 8, 0,
cdhkmqu, 16, 1,
dhlqrst, 32, 0,
hjortux, 512, 0,
dejruxy, 32, 12,
ghlopux, 256, 6,
ejptwxy, 64, 0,
hkqrtvy, 512, 0,
bjklmnq, 8, 0,
egijktu, 64, 0,
cdfikmp, 16, 3,
cejorwy, 16, 0,
ckmqruw, 16, 0,
dglrstu, 32, 0,
dghlnpx, 32, 0,
hklmptx, 512, 0,
cdgnrtw, 16, 5,
abeirty, 4, 41,
iklmoqt, 2, 0,
dginwxy, 32, 0,
eijqruw, 64, 0,
dhikotx, 32, 0,
egikuvy, 64, 0,
cenopqr, 16, 0,
cehmosv, 16, 0,
dlnosuv, 32, 0,
acdjkny, 4, 0,
degjkrv, 32, 15,
efhilot, 64, 13,
eiknprv, 64, 0,
bdhnquy, 8, 0,
aeorsvx, 4, 0,
adgiovx, 32, 0,
bfiltwy, 8, 0,
cgnqsuw, 16, 0,
jmnprwx, 2, 0,
bejlsuw, 8, 0,
hlmoprs, 512, 0,
deiuvxy, 32, 2,
defginy, 32, 18,
cekmoqv, 16, 0,
bhlnotu, 8, 0,
acfgjsx, 4, 0,
kpsuvwx, 2, 0,
befkmnv, 8, 0,
aclquwx, 4, 0,
cegmnow, 16, 0,
bchijtw, 8, 3,
cdjmopt, 16, 5,
acdgjpy, 4, 0,
behkory, 8, 0,
bchkrvw, 8, 1,
bgklmrs, 8, 0,
dgjruwy, 32, 0,
dhkopxy, 32, 0,
bfltuvx, 8, 0,
eflstux, 64, 15,
hlmsuvy, 512, 0,
bjloqty, 8, 0,
bdloqty, 8, 0,
aeghklm, 64, 0,
hiloswx, 512, 15,
bghkmny, 8, 0,
aehnouv, 64, 0,
afikruv, 4, 0,
fjnopsu, 128, 0,
ajknopu, 4, 0,
ehkoprt, 64, 0,
dfgjmot, 32, 0,
agilstw, 4, 0,
chknorx, 16, 0,
adgnpsy, 4, 0,
ajknpvy, 4, 0,
dfiopvy, 32, 0,
acegjkw, 4, 0,
flopqwy, 128, 0,
dptuvxy, 32, 0,
fmopsvw, 128, 0,
ehjkoqw, 64, 0,
jklnouw, 2, 0,
efkosvw, 64, 6,
gjlmnsu, 256, 0,
bcefmnr, 8, 3,
fimosty, 128, 0,
hkmnrsv, 512, 0,
ehkmnqv, 64, 0,
hklortu, 512, 0,
acknqtw, 16, 0,
cejosvx, 16, 0,
abcjluy, 4, 10,
fghprtv, 128, 3,
acjqwxy, 4, 0,
aefoqtu, 64, 14,
behmnrs, 8, 0,
aegrswy, 4, 0,
eflmnqy, 64, 3,
bcdfjst, 8, 1,
cflpqty, 16, 0,
abehioy, 4, 9,
bfhlruw, 8, 0,
cfgorwy, 16, 0,
ahiloxy, 4, 0,
eijkqsv, 64, 0,
acinpwy, 4, 0,
ainptvx, 4, 0,
ghmopqr, 256, 7,
bfghjmr, 8, 0,
bdhjoqv, 8, 0,
bchlmry, 8, 3,
afilnxy, 4, 0,
cgikloy, 16, 0,
fghktuv, 128, 3,
bcgnrsu, 8, 5,
dglotux, 32, 0,
fhoqsty, 128, 0,
abghkux, 4, 3,
ackorty, 4, 0,
bijmort, 8, 0,
acijnox, 4, 0,
fjlpquy, 128, 0,
fgiknsx, 128, 3,
finoqrw, 128, 0,
aciorvy, 4, 0,
bcglpsw, 8, 0,
jkoprsx, 2, 0,
gjmqtux, 256, 0,
agmpsux, 4, 0,
afnptvy, 4, 0,
klopqsx, 2, 0,
bdhkntu, 8, 0,
adkqvwy, 4, 0,
flnqtvx, 128, 0,
aegikmq, 64, 0,
bhklqru, 8, 0,
bcdfowx, 8, 1,
ijloquw, 2, 0,
ehpqvxy, 64, 0,
aefgjmr, 4, 0,
begkpqu, 8, 0,
abhsvwx, 4, 3,
dehknpu, 32, 14,
agklrsu, 4, 0,
fjmnrtu, 128, 0,
bdhipsw, 8, 0,
cioprsx, 16, 0,
aflrstu, 4, 0,
aehjlow, 4, 0,
cgnrsvy, 16, 0,
befijpt, 8, 0,
bcejosx, 8, 6,
bjkptwy, 8, 0,
cglqsuv, 16, 0,
acgnoqt, 4, 0,
dgklnsy, 32, 0,
bcgimvw, 8, 0,
dinopuv, 32, 0,
bijlnpq, 8, 0,
efhiqxy, 64, 2,
bdelqrv, 8, 0,
dilmnvw, 32, 0,
begkmqu, 8, 0,
ehpqsux, 64, 0,
aehlnvx, 4, 0,
aefhimr, 4, 0,
efiprsu, 64, 22,
djlosux, 32, 0,
ehmnuxy, 64, 0,
dghjkmu, 32, 0,
bdfiswy, 8, 0,
achiprx, 4, 0,
cdefrsx, 16, 13,
eghklsv, 64, 0,
efntuwx, 64, 7,
fijqrtv, 128, 0,
filrsty, 128, 0,
opruvwx, 2, 0,
dijkrsw, 32, 0,
knoruxy, 2, 0,
cghijlx, 16, 0,
abclmvy, 4, 9,
afgjktv, 4, 0,
dgmoqsv, 32, 0,
deikotx, 32, 15,
djklotw, 32, 0,
begioty, 8, 0,
afhjuvw, 4, 0,
cefpquw, 16, 0,
abilmuw, 4, 16,
cdekprt, 16, 25,
deflotw, 32, 29,
fhkosvw, 128, 0,
efnrsuw, 64, 18,
bcjmptu, 8, 0,
cdefvxy, 16, 3,
bfjnoxy, 8, 0,
bcghikm, 8, 4,
bcgjqtu, 8, 0,
abfstwx, 4, 7,
acfkrvy, 4, 0,
cfimntv, 16, 0,
acdekry, 4, 0,
dfkmpsv, 32, 0,
acdekmr, 4, 0,
cepqtwx, 16, 0,
dghiknw, 32, 0,
dhjnpsy, 32, 0,
cdhjmpx, 16, 1,
abfgilx, 4, 8,
ahkmovw, 512, 0,
ablmnsu, 4, 26,
dfmrtuw, 32, 0,
egmprst, 64, 0,
chiklmw, 16, 0,
acgruwx, 4, 0,
ckmnpsw, 16, 0,
cefgmrw, 16, 0,
bcdhjrs, 8, 2,
bdeiprv, 8, 0,
cjmqsty, 16, 0,
afimnqr, 4, 0,
cefhlqw, 16, 0,
cgilmqu, 16, 0,
dhnpuvx, 32, 0,
bcfjmqs, 8, 1,
ceghnqr, 16, 0,
dehjkpu, 32, 8,
bhkqtwy, 8, 0,
achqsvy, 4, 0,
jklnpqy, 2, 0,
bjklmno, 8, 0,
abimptw, 8, 0,
bdgikmw, 8, 0,
defmopw, 32, 16,
ilprtuw, 2, 0,
cegopru, 16, 0,
abgrstu, 4, 22,
agiknox, 4, 0,
afkqrsu, 4, 0,
aceilxy, 4, 0,
eflrstv, 64, 19,
fhknorv, 128, 0,
fimpqxy, 128, 0,
bgiqrwx, 8, 0,
fgklopq, 128, 3,
ghipvwy, 256, 4,
bcfquvx, 8, 0,
ghnpstu, 256, 13,
djklmtw, 32, 0,
ghiquvx, 256, 4,
bijkoqx, 8, 0,
djloqrt, 32, 0,
imoqrsv, 2, 0,
afghpwy, 4, 0,
fgnopvy, 128, 4,
