vocabs, center, score
aeinrty, 2, 70,
aeinrty, 32, 77,
aefiprs, 32, 73,
abdeirt, 2, 84,
efprstu, 32, 68,
abegirt, 32, 79,
aeiprsu, 2, 53,
cdeiprt, 32, 75,
abdeirt, 32, 98,
eilprsu, 32, 66,
einprsu, 32, 86,
acdenpr, 2, 64,
abegrst, 2, 99,
delnrst, 32, 97,
delnost, 32, 86,
adeprtw, 32, 65,
acdenpr, 32, 64,
delmopr, 32, 54,
abeinrt, 32, 103,
aberstu, 32, 98,
aberstu, 2, 84,
abeirst, 32, 114,
acdeprs, 2, 83,
abegirt, 2, 71,
dehorst, 32, 82,
deilpst, 32, 76,
deimnps, 32, 62,
deklors, 32, 69,
ekprstu, 32, 66,
degprsu, 32, 68,
acdeirs, 2, 88,
deklors, 32, 69,
aeinort, 32, 91,
acdersw, 32, 68,
aceqrst, 32, 75,
cdenors, 32, 68,
acdenrs, 32, 90,
aeorstv, 32, 86,
adeprsu, 2, 66,
deinost, 16, 74,
acdeirs, 32, 103,
aeirsty, 2, 77,
adehrst, 32, 114,
cdeiors, 16, 62,
aceqrst, 32, 75,
delprst, 32, 91,
acderst, 8, 68,
aeirsty, 32, 87,
demoprt, 32, 64,
dekoprs, 32, 65,
defirst, 32, 95,
enoprsu, 32, 71,
aeioprt, 32, 62,
aeilort, 32, 68,
aefprsu, 32, 59,
aeknprt, 2, 56,
abegort, 32, 65,
delnprs, 32, 68,
aefimrs, 2, 49,
acefirs, 32, 61,
adeirsu, 32, 69,
abceirs, 32, 65,
aberstv, 32, 79,
aemnost, 32, 79,
ademprt, 32, 84,
adeilrt, 2, 90,
abeoprt, 32, 58,
adeirtv, 32, 68,
adeirsu, 32, 69,
adeirtw, 32, 70,
aefgirs, 32, 63,
ademnst, 32, 82,
aefrstu, 32, 81,
aeilrty, 32, 65,
aerstux, 32, 63,
efprstu, 32, 68,
acdeirt, 32, 97,
aefimrs, 2, 49,
abdeirt, 16, 71,
abeinrt, 32, 103,
abeilrt, 4, 71,
abeilrt, 4, 71,
abeimrt, 32, 77,
abdeilt, 32, 65,
abegrty, 2, 60,
aceiort, 8, 69,
ceiprsu, 32, 68,
deforst, 32, 74,
aceinrt, 8, 88,
aeprstu, 32, 114,
abdenrt, 32, 91,
aeiprsw, 2, 56,
acekprs, 32, 78,
abdekrt, 2, 59,
abeilrt, 4, 71,
adefprt, 32, 63,
aeiprsy, 2, 55,
acdeirt, 8, 63,
abegirt, 32, 79,
cdeorst, 32, 83,
abeilrt, 4, 71,
abcdeir, 32, 62,
abeirst, 4, 58,
adenrty, 32, 74,
abdertv, 32, 64,
abelort, 4, 67,
abegirt, 2, 71,
abenort, 2, 71,
efinrsu, 32, 68,
abeirst, 32, 114,
aeginrt, 2, 128,
deioprt, 32, 78,
aeiprst, 2, 129,
abdeprt, 32, 83,
abegirt, 32, 79,
abdeimr, 32, 61,
adeiort, 32, 77,
adeoprt, 16, 74,
adeprtv, 32, 61,
deiprst, 32, 142,
abeiprt, 32, 69,
acefrsu, 32, 55,
abderty, 32, 71,
aeilrty, 32, 65,
abeinrt, 32, 103,
acefirs, 32, 61,
abenort, 64, 0,
abefirt, 64, 21,
ceoprtu, 8, 21,
deimrty, 4, 0,
fprstuv, 32, 0,
